target,horizon_minutes,n,rmse,nrmse,mae,bias,r2,resolution,resolution_minutes,model,feature_set,candidate_id,split,fit_seconds,inference_seconds
temperature,240,2742,1.4454873404194692,0.33789825055195477,1.024509594778802,-0.22045585889306263,0.8875869914204617,4min,4,RANDOM_FOREST,SHT_TIME,2,test,0.8594274999340996,0.05155890004243702
temperature,480,2742,1.5914155393971863,0.32963900146844516,1.183762903421392,0.17376714058699333,0.8772682277373525,4min,4,RANDOM_FOREST,SHT_TIME,2,test,0.8594274999340996,0.05155890004243702
relative_humidity,60,2742,2.4712918516437905,0.21162435425946932,1.7622059807772166,-0.1491112387781893,0.9581534521757623,4min,4,RANDOM_FOREST,SHT_TIME,2,test,0.8594274999340996,0.05155890004243702
relative_humidity,120,2742,3.159410266094935,0.27362099422961494,2.220360780120683,-0.12297634843932836,0.9322022892127696,4min,4,RANDOM_FOREST,SHT_TIME,2,test,0.8594274999340996,0.05155890004243702
relative_humidity,240,2742,4.012507219896378,0.3342952566615303,2.9087845037965603,-0.2441978148796704,0.8927065597181989,4min,4,RANDOM_FOREST,SHT_TIME,2,test,0.8594274999340996,0.05155890004243702
relative_humidity,480,2742,4.7586617221526435,0.36607874800928947,3.610961559803909,-1.020884462112923,0.8651431085673169,4min,4,RANDOM_FOREST,SHT_TIME,2,test,0.8594274999340996,0.05155890004243702
temperature,60,1446,0.9898435978212446,0.2285458374692326,0.7661344199253955,0.07429279202817017,0.935887700858744,4min,4,EXTRA_TREES,SHT_TIME,2,validation,0.1395403000060469,0.05208389996550977
temperature,120,1446,1.3199029751214735,0.30876879901578674,0.9908815368414446,0.18736100580493353,0.885773679961052,4min,4,EXTRA_TREES,SHT_TIME,2,validation,0.1395403000060469,0.05208389996550977
temperature,240,1446,1.7301225622741363,0.37901274663667783,1.2660850774340926,0.3338581159101337,0.817079771594116,4min,4,EXTRA_TREES,SHT_TIME,2,validation,0.1395403000060469,0.05208389996550977
temperature,480,1446,1.7998391351234029,0.3226581739680551,1.3204797854059256,0.4667819449683533,0.812681147260238,4min,4,EXTRA_TREES,SHT_TIME,2,validation,0.1395403000060469,0.05208389996550977
relative_humidity,60,1446,2.734812767892348,0.23072964198857887,2.126436151976192,0.3025938492811778,0.943352988786244,4min,4,EXTRA_TREES,SHT_TIME,2,validation,0.1395403000060469,0.05208389996550977
relative_humidity,120,1446,3.617897044318539,0.3107594726638106,2.749914523869402,0.055650148790834846,0.9002107482186512,4min,4,EXTRA_TREES,SHT_TIME,2,validation,0.1395403000060469,0.05208389996550977
relative_humidity,240,1446,4.828592327073956,0.3980017674443929,3.515293135713988,-0.29477245798231916,0.8355703199808754,4min,4,EXTRA_TREES,SHT_TIME,2,validation,0.1395403000060469,0.05208389996550977
relative_humidity,480,1446,4.999051890211763,0.3571469683969025,3.7105710874303224,-0.4665030627855333,0.832518964040063,4min,4,EXTRA_TREES,SHT_TIME,2,validation,0.1395403000060469,0.05208389996550977
temperature,60,2742,0.9275710211984775,0.22501356818154422,0.7129025519302032,-0.25069106873172575,0.9514712439151349,4min,4,EXTRA_TREES,SHT_TIME,2,test,0.28028409997932613,0.05140019999817014
temperature,120,2742,1.1287657127908823,0.27632220917470296,0.8450921689288972,-0.2799586714639781,0.9290040275354576,4min,4,EXTRA_TREES,SHT_TIME,2,test,0.28028409997932613,0.05140019999817014
temperature,240,2742,1.39998172384892,0.32726082205326273,1.022329256628908,-0.292588793738073,0.8945533665646488,4min,4,EXTRA_TREES,SHT_TIME,2,test,0.28028409997932613,0.05140019999817014
temperature,480,2742,1.5102341144892562,0.31282342867683327,1.1361192073674704,0.05711151091657092,0.8894704583104921,4min,4,EXTRA_TREES,SHT_TIME,2,test,0.28028409997932613,0.05140019999817014
relative_humidity,60,2742,2.2893737024708236,0.19604614126079029,1.6397958426912227,-0.1640858376751164,0.9640875576756831,4min,4,EXTRA_TREES,SHT_TIME,2,test,0.28028409997932613,0.05140019999817014
relative_humidity,120,2742,3.0232653945906978,0.2618301560785772,2.0974749123915886,-0.1327286775503105,0.937919454269848,4min,4,EXTRA_TREES,SHT_TIME,2,test,0.28028409997932613,0.05140019999817014
relative_humidity,240,2742,3.8331115661395025,0.31934921100228625,2.764193152424274,-0.1320434994094555,0.902086080207271,4min,4,EXTRA_TREES,SHT_TIME,2,test,0.28028409997932613,0.05140019999817014
relative_humidity,480,2742,4.453200052157157,0.3425799089982681,3.391564295027535,-0.778749984444258,0.8819005462267409,4min,4,EXTRA_TREES,SHT_TIME,2,test,0.28028409997932613,0.05140019999817014
temperature,60,1446,0.7699556019286675,0.1777757094598017,0.5440178885933523,0.13917661347806629,0.9612082331623915,4min,4,HIST_GRADIENT_BOOSTING,SHT_TIME,1,validation,4.312194099999033,2.9352223000023514
temperature,120,1446,1.3509717329912325,0.3160368052519837,0.9807793525754317,0.26923083756410165,0.8803329198715812,4min,4,HIST_GRADIENT_BOOSTING,SHT_TIME,1,validation,4.312194099999033,2.9352223000023514
temperature,240,1446,2.376821439243892,0.5206831247658343,1.7069730268071637,0.5584321115489445,0.654775898526037,4min,4,HIST_GRADIENT_BOOSTING,SHT_TIME,1,validation,4.312194099999033,2.9352223000023514
temperature,480,1446,2.066352606238993,0.37043619381989495,1.466583654536813,0.6458474212983452,0.7530989298087458,4min,4,HIST_GRADIENT_BOOSTING,SHT_TIME,1,validation,4.312194099999033,2.9352223000023514
relative_humidity,60,1446,2.4582841304921397,0.20739957923034796,1.7982336564500794,0.29184339782829943,0.9542294682202542,4min,4,HIST_GRADIENT_BOOSTING,SHT_TIME,1,validation,4.312194099999033,2.9352223000023514
relative_humidity,120,1446,4.2120248607004145,0.36179211528797617,3.0199177499157113,0.2895932308115751,0.864745036867147,4min,4,HIST_GRADIENT_BOOSTING,SHT_TIME,1,validation,4.312194099999033,2.9352223000023514
relative_humidity,240,1446,5.245027105134566,0.43232683911468506,3.442333717113988,-0.5170496682467149,0.8059853138563673,4min,4,HIST_GRADIENT_BOOSTING,SHT_TIME,1,validation,4.312194099999033,2.9352223000023514
relative_humidity,480,1446,4.303677172633868,0.307467353594529,3.202994310044191,-0.3521811803038828,0.8758720101992832,4min,4,HIST_GRADIENT_BOOSTING,SHT_TIME,1,validation,4.312194099999033,2.9352223000023514
temperature,60,2742,0.6693417814570286,0.162371375492131,0.4828314669043113,0.02218064173299349,0.9747302651114303,4min,4,HIST_GRADIENT_BOOSTING,SHT_TIME,1,test,1.2619137999136,0.27053540002088994
temperature,120,2742,1.0780956941130768,0.2639181723216022,0.816064443741118,0.1902823728127744,0.9352349481595,4min,4,HIST_GRADIENT_BOOSTING,SHT_TIME,1,test,1.2619137999136,0.27053540002088994
temperature,240,2742,1.4494181264833956,0.3388171141747308,1.0294826272086048,0.04721673857907441,0.8869747795016429,4min,4,HIST_GRADIENT_BOOSTING,SHT_TIME,1,test,1.2619137999136,0.27053540002088994
