resolution,resolution_minutes,target,corrector,candidate_id,parameters,mean_validation_nrmse,mean_validation_rmse,mean_validation_r2,minimum_validation_r2,fit_seconds,inference_seconds
20min,20,temperature,HIST_GRADIENT_BOOSTING,1,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 31}",0.27023685731919406,1.315266651459392,0.8806432353733458,0.7869792229867896,0.31621049996465445,0.08737990004010499
20min,20,temperature,HIST_GRADIENT_BOOSTING,2,"{""l2_regularization"": 1.0, ""learning_rate"": 0.04, ""max_iter"": 260, ""max_leaf_nodes"": 63}",0.2699275701771268,1.3137613236232053,0.88139679255397,0.7939763544865633,0.44497189996764064,0.12197530001867563
20min,20,temperature,HIST_GRADIENT_BOOSTING,3,"{""l2_regularization"": 5.0, ""learning_rate"": 0.08, ""max_iter"": 180, ""max_leaf_nodes"": 31}",0.2698007987090992,1.3131443156920615,0.8818648637885401,0.7962366261409329,0.3195730000734329,0.0752061998937279
20min,20,temperature,EXTRA_TREES,1,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 250}",0.26421891799045305,1.2859768092516362,0.8877864041716347,0.823699380138983,0.11436050001066178,0.0392877000849694
20min,20,temperature,EXTRA_TREES,2,"{""max_depth"": 20, ""max_features"": 0.85, ""min_samples_leaf"": 2, ""n_estimators"": 320}",0.2663778087428962,1.296484321213554,0.8850490445881609,0.8145443071713349,0.15031219995580614,0.03890110005158931
20min,20,temperature,EXTRA_TREES,3,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 320}",0.2630431103233205,1.2802540494902503,0.8876389881194007,0.8180610809020064,0.1517974000889808,0.03917420003563166
20min,20,temperature,XGBOOST,1,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 260, ""reg_lambda"": 1.0, ""subsample"": 0.85}",0.26558904121648025,1.2926453199998018,0.884584479206705,0.7886340138974077,0.5972690999042243,0.023129999986849725
20min,20,temperature,XGBOOST,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 2, ""n_estimators"": 360, ""reg_lambda"": 3.0, ""subsample"": 0.85}",0.2787525655992803,1.3567133557523021,0.8763950515072632,0.8041993919661243,0.9227887999732047,0.0229085999308154
20min,20,temperature,XGBOOST,3,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.07, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 220, ""reg_lambda"": 5.0, ""subsample"": 0.9}",0.2724662552896334,1.3261173282783822,0.880083701337934,0.7953384410786298,0.31583670002873987,0.02257210004609078
20min,20,temperature,RANDOM_FOREST,1,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 240}",0.2510800934842127,1.2220289899798056,0.8981807684473293,0.8414158652789081,0.21233210002537817,0.051213899976573884
