resolution,resolution_minutes,target,horizon_minutes,corrector,alpha,window_id,n,base_rmse,hybrid_rmse,gain_pct
4min,4,relative_humidity,240,RANDOM_FOREST,0.5,2,75,4.547075509004325,4.394707261831997,3.350906464398963
4min,4,relative_humidity,240,RANDOM_FOREST,0.5,3,75,4.432300422609593,4.395826597178318,0.8229095944223184
4min,4,relative_humidity,240,RANDOM_FOREST,0.5,4,75,4.780794010148766,4.645449717789531,2.831000291414416
4min,4,relative_humidity,240,RANDOM_FOREST,0.75,1,75,2.1776850349549557,2.5031397127639057,-14.944983897346836
4min,4,relative_humidity,240,RANDOM_FOREST,0.75,2,75,4.547075509004325,4.342693931647663,4.4947918052369475
4min,4,relative_humidity,240,RANDOM_FOREST,0.75,3,75,4.432300422609593,4.408057616700791,0.5469576426980697
4min,4,relative_humidity,240,RANDOM_FOREST,0.75,4,75,4.780794010148766,4.62564533811241,3.245249046643784
4min,4,relative_humidity,240,RANDOM_FOREST,1.0,1,75,2.1776850349549557,2.8073004867968243,-28.912144857297598
4min,4,relative_humidity,240,RANDOM_FOREST,1.0,2,75,4.547075509004325,4.307633103114712,5.26585506256622
4min,4,relative_humidity,240,RANDOM_FOREST,1.0,3,75,4.432300422609593,4.44046971309471,-0.18431265271289277
4min,4,relative_humidity,240,RANDOM_FOREST,1.0,4,75,4.780794010148766,4.638517408124349,2.976003603635488
4min,4,relative_humidity,480,RANDOM_FOREST,0.25,1,75,2.4066413439138716,2.218133125648146,7.832833867931421
4min,4,relative_humidity,480,RANDOM_FOREST,0.25,2,75,4.77045993433936,4.603592330053167,3.4979353475966706
4min,4,relative_humidity,480,RANDOM_FOREST,0.25,3,75,6.414553147843935,6.330867134616236,1.304627326313879
4min,4,relative_humidity,480,RANDOM_FOREST,0.25,4,75,4.812863865772454,4.9275035188346585,-2.381942565994546
4min,4,relative_humidity,480,RANDOM_FOREST,0.5,1,75,2.4066413439138716,2.353211623554422,2.2200948427387255
4min,4,relative_humidity,480,RANDOM_FOREST,0.5,2,75,4.77045993433936,4.4625506596012166,6.454498706124963
4min,4,relative_humidity,480,RANDOM_FOREST,0.5,3,75,6.414553147843935,6.275066946172524,2.1745271799376256
4min,4,relative_humidity,480,RANDOM_FOREST,0.5,4,75,4.812863865772454,5.085082279100305,-5.656058864739178
4min,4,relative_humidity,480,RANDOM_FOREST,0.75,1,75,2.4066413439138716,2.7648496712547748,-14.884159131013526
4min,4,relative_humidity,480,RANDOM_FOREST,0.75,2,75,4.77045993433936,4.349847828336737,8.817013700815654
4min,4,relative_humidity,480,RANDOM_FOREST,0.75,3,75,6.414553147843935,6.247899774713373,2.5980511703543656
4min,4,relative_humidity,480,RANDOM_FOREST,0.75,4,75,4.812863865772454,5.281758339959734,-9.742525183849631
4min,4,relative_humidity,480,RANDOM_FOREST,1.0,1,75,2.4066413439138716,3.3526826335511704,-39.309608472809295
4min,4,relative_humidity,480,RANDOM_FOREST,1.0,2,75,4.77045993433936,4.267729555848175,10.538404795570441
4min,4,relative_humidity,480,RANDOM_FOREST,1.0,3,75,6.414553147843935,6.249739028464576,2.5693780311845433
