resolution,resolution_minutes,model,family,split,target,horizon_minutes,n,mae,rmse,bias,r2,smape_pct,mase
4min,4,DIURNAL_CLIMATOLOGY,reference,test,temperature,240,2742.0,1.4154776685219492,1.832482387139697,1.1167957933953603,0.8193376710227557,6.3443534964349455,1.2145520273947714
4min,4,PERSISTENCE,reference,test,temperature,480,2742.0,5.764020787746171,7.177635399388437,-0.5213056163384392,-1.496620914347532,24.2366510517612,4.945823794601364
4min,4,SEASONAL_NAIVE_24H,reference,test,temperature,480,2742.0,1.3238721735959154,1.7604681992595557,0.12943319961098956,0.8498082126472553,5.776706183492145,1.1359498409688322
4min,4,ROLLING_MEAN_6H,reference,test,temperature,480,2742.0,6.078713300645649,7.163296567821824,-0.31852100386309007,-1.4866558305405966,25.99240712166784,5.215846019640861
4min,4,DIURNAL_CLIMATOLOGY,reference,test,temperature,480,2742.0,1.4129166878051842,1.8353568349508735,1.0989130084566348,0.8367583996863677,6.250706420457355,1.2123545753325895
4min,4,PERSISTENCE,reference,test,relative_humidity,60,2742.0,2.9755011548747867,4.382115825426572,-0.06370805981035728,0.8684232161846887,4.850013865565285,0.8084169310536266
4min,4,SEASONAL_NAIVE_24H,reference,test,relative_humidity,60,2742.0,3.2494879042061755,4.614444596813286,-0.2033281667882323,0.8541016320511081,5.187476532932208,0.8828566692741824
4min,4,ROLLING_MEAN_6H,reference,test,relative_humidity,60,2742.0,9.237150704406083,12.340246887595885,-0.6515383573763406,-0.04342024516386256,14.483620771666676,2.509650857268799
4min,4,DIURNAL_CLIMATOLOGY,reference,test,relative_humidity,60,2742.0,3.684742323305619,4.744873665306942,-2.621700765255386,0.845737321094304,5.655074480059014,1.0011113844973423
4min,4,PERSISTENCE,reference,test,relative_humidity,120,2742.0,5.662660162898129,8.21381770854009,-0.02633752735229753,0.5417598901089269,9.190782247913292,1.5384938913533623
4min,4,SEASONAL_NAIVE_24H,reference,test,relative_humidity,120,2742.0,3.2690864332603935,4.660981812858988,-0.1669268174082179,0.852443686417262,5.220944611109457,0.8881814135396044
4min,4,ROLLING_MEAN_6H,reference,test,relative_humidity,120,2742.0,10.995443826485129,14.458279560992732,-0.6141678249182808,-0.41982956685984685,17.03300520248428,2.9873633015456553
4min,4,DIURNAL_CLIMATOLOGY,reference,test,relative_humidity,120,2742.0,3.6518257503666933,4.713874033350028,-2.5955160573572678,0.8490757849416789,5.608726972073053,0.9921682473614372
4min,4,PERSISTENCE,reference,test,relative_humidity,240,2742.0,10.215092693897398,14.228144713893784,0.16093818380743974,-0.34908112019983406,16.211639325852627,2.775348909712108
4min,4,SEASONAL_NAIVE_24H,reference,test,relative_humidity,240,2742.0,3.3000158035497202,4.674970339375605,-0.19213287138341853,0.8543537736286793,5.265755659092911,0.896584645569192
4min,4,ROLLING_MEAN_6H,reference,test,relative_humidity,240,2742.0,14.012299737282873,17.575553373523707,-0.4268921137585436,-1.0585410546824119,21.300631412806798,3.807015948240977
4min,4,DIURNAL_CLIMATOLOGY,reference,test,relative_humidity,240,2742.0,3.660049164536119,4.669495408041265,-2.625103806893752,0.8546947110485913,5.619184672190117,0.9944024751098413
4min,4,PERSISTENCE,reference,test,relative_humidity,480,2742.0,17.06177455628495,20.833823313050377,1.5684965353756386,-1.584886220131554,26.187237711932703,4.635530859238117
4min,4,SEASONAL_NAIVE_24H,reference,test,relative_humidity,480,2742.0,3.455557379042062,4.841639828542992,-0.12059688791636274,0.8603990300045665,5.631490146069798,0.9388438942019005
4min,4,ROLLING_MEAN_6H,reference,test,relative_humidity,480,2742.0,18.065432297998218,20.996932764419395,0.9806662378096549,-1.6255191669077385,27.15943844523177,4.9082156505226955
4min,4,DIURNAL_CLIMATOLOGY,reference,test,relative_humidity,480,2742.0,3.7225130865587794,4.791595196192153,-2.4338098660261966,0.8632700296382485,5.841298907925972,1.0113733615302356
12min,12,PERSISTENCE,reference,validation,temperature,60,135.0,1.1358436213991774,1.608955586571936,0.03869135802469138,0.8336838236402861,4.758644058122684,0.9773150441440991
12min,12,SEASONAL_NAIVE_24H,reference,validation,temperature,60,135.0,1.1748518518518518,1.4955957652248117,-0.04425514403292191,0.856294022417387,5.468082653938615,1.0108789342330153
12min,12,ROLLING_MEAN_6H,reference,validation,temperature,60,135.0,3.021163923182442,4.107213807914769,0.01961412894375861,-0.08377967623476978,12.904780122913145,2.5995030454231385
12min,12,DIURNAL_CLIMATOLOGY,reference,validation,temperature,60,135.0,2.1468745482819482,2.7807277034912827,2.106510396475748,0.503220910574545,9.412979332907911,1.8472373788051935
