resolution,model,target,horizon_minutes,selected_alpha,history_hours,maximum_interpolated_fraction,n_features_flattened,train_samples,validation_samples,test_samples,final_fit_seconds,test_inference_seconds,model_path
20min,VAR_DIRECT_RIDGE,temperature,240,100.0,24,0.15,144,146,239,556,0.004812899976968765,0.0010353999678045511,models\baselines_statistical\20min\VAR_DIRECT_RIDGE\temperature_h240min.joblib
20min,VAR_DIRECT_RIDGE,temperature,480,100.0,24,0.15,144,146,239,556,0.0053443999495357275,0.0006089999806135893,models\baselines_statistical\20min\VAR_DIRECT_RIDGE\temperature_h480min.joblib
20min,VAR_DIRECT_RIDGE,relative_humidity,60,0.1,24,0.15,144,146,239,556,0.013092999928630888,0.0005110000493004918,models\baselines_statistical\20min\VAR_DIRECT_RIDGE\relative_humidity_h60min.joblib
20min,VAR_DIRECT_RIDGE,relative_humidity,120,0.1,24,0.15,144,146,239,556,0.012849199934862554,0.0005879000527784228,models\baselines_statistical\20min\VAR_DIRECT_RIDGE\relative_humidity_h120min.joblib
20min,VAR_DIRECT_RIDGE,relative_humidity,240,10.0,24,0.15,144,146,239,556,0.004655500059016049,0.00046959996689110994,models\baselines_statistical\20min\VAR_DIRECT_RIDGE\relative_humidity_h240min.joblib
20min,VAR_DIRECT_RIDGE,relative_humidity,480,100.0,24,0.15,144,146,239,556,0.004422300029546022,0.0004811000544577837,models\baselines_statistical\20min\VAR_DIRECT_RIDGE\relative_humidity_h480min.joblib
30min,AR_DIRECT_RIDGE,temperature,60,0.1,24,0.15,48,104,142,350,0.0034132000291720033,0.0002476000227034092,models\baselines_statistical\30min\AR_DIRECT_RIDGE\temperature_h60min.joblib
30min,AR_DIRECT_RIDGE,temperature,120,1.0,24,0.15,48,104,142,350,0.0021117000142112374,0.00028549996204674244,models\baselines_statistical\30min\AR_DIRECT_RIDGE\temperature_h120min.joblib
30min,AR_DIRECT_RIDGE,temperature,240,10.0,24,0.15,48,104,142,350,0.0032379000913351774,0.0003461999585852027,models\baselines_statistical\30min\AR_DIRECT_RIDGE\temperature_h240min.joblib
30min,AR_DIRECT_RIDGE,temperature,480,100.0,24,0.15,48,104,142,350,0.0014023000840097666,0.0002606000052765012,models\baselines_statistical\30min\AR_DIRECT_RIDGE\temperature_h480min.joblib
30min,AR_DIRECT_RIDGE,relative_humidity,60,0.1,24,0.15,48,104,142,350,0.003920200048014522,0.0003504999913275242,models\baselines_statistical\30min\AR_DIRECT_RIDGE\relative_humidity_h60min.joblib
30min,AR_DIRECT_RIDGE,relative_humidity,120,0.1,24,0.15,48,104,142,350,0.0036965999752283096,0.0003361999988555908,models\baselines_statistical\30min\AR_DIRECT_RIDGE\relative_humidity_h120min.joblib
30min,AR_DIRECT_RIDGE,relative_humidity,240,1.0,24,0.15,48,104,142,350,0.0022037000162526965,0.00027489999774843454,models\baselines_statistical\30min\AR_DIRECT_RIDGE\relative_humidity_h240min.joblib
30min,AR_DIRECT_RIDGE,relative_humidity,480,100.0,24,0.15,48,104,142,350,0.0013150000013411045,0.0002730999840423465,models\baselines_statistical\30min\AR_DIRECT_RIDGE\relative_humidity_h480min.joblib
30min,VAR_DIRECT_RIDGE,temperature,60,10.0,24,0.15,96,104,142,350,0.0034917000448331237,0.0005898999515920877,models\baselines_statistical\30min\VAR_DIRECT_RIDGE\temperature_h60min.joblib
30min,VAR_DIRECT_RIDGE,temperature,120,10.0,24,0.15,96,104,142,350,0.002553700003772974,0.00030230008997023106,models\baselines_statistical\30min\VAR_DIRECT_RIDGE\temperature_h120min.joblib
30min,VAR_DIRECT_RIDGE,temperature,240,100.0,24,0.15,96,104,142,350,0.0020863000536337495,0.0003108000382781029,models\baselines_statistical\30min\VAR_DIRECT_RIDGE\temperature_h240min.joblib
30min,VAR_DIRECT_RIDGE,temperature,480,100.0,24,0.15,96,104,142,350,0.0019484000513330102,0.00032629992347210646,models\baselines_statistical\30min\VAR_DIRECT_RIDGE\temperature_h480min.joblib
30min,VAR_DIRECT_RIDGE,relative_humidity,60,1.0,24,0.15,96,104,142,350,0.004629300092346966,0.0003929000813513994,models\baselines_statistical\30min\VAR_DIRECT_RIDGE\relative_humidity_h60min.joblib
30min,VAR_DIRECT_RIDGE,relative_humidity,120,1.0,24,0.15,96,104,142,350,0.004112299997359514,0.0003100999165326357,models\baselines_statistical\30min\VAR_DIRECT_RIDGE\relative_humidity_h120min.joblib
30min,VAR_DIRECT_RIDGE,relative_humidity,240,1.0,24,0.15,96,104,142,350,0.004483900032937527,0.0003303999546915293,models\baselines_statistical\30min\VAR_DIRECT_RIDGE\relative_humidity_h240min.joblib
30min,VAR_DIRECT_RIDGE,relative_humidity,480,10.0,24,0.15,96,104,142,350,0.0026436999905854464,0.0003136000595986843,models\baselines_statistical\30min\VAR_DIRECT_RIDGE\relative_humidity_h480min.joblib
60min,AR_DIRECT_RIDGE,temperature,60,1.0,24,0.15,24,66,58,211,0.001013800036162138,0.00047289999201893806,models\baselines_statistical\60min\AR_DIRECT_RIDGE\temperature_h60min.joblib
60min,AR_DIRECT_RIDGE,temperature,120,1.0,24,0.15,24,66,58,211,0.0026526000583544374,0.0003917999565601349,models\baselines_statistical\60min\AR_DIRECT_RIDGE\temperature_h120min.joblib
60min,AR_DIRECT_RIDGE,temperature,240,10.0,24,0.15,24,66,58,211,0.0006416999967768788,0.0001284999307245016,models\baselines_statistical\60min\AR_DIRECT_RIDGE\temperature_h240min.joblib
60min,AR_DIRECT_RIDGE,temperature,480,10.0,24,0.15,24,66,58,211,0.0006797000532969832,0.00013139995280653238,models\baselines_statistical\60min\AR_DIRECT_RIDGE\temperature_h480min.joblib
60min,AR_DIRECT_RIDGE,relative_humidity,60,0.1,24,0.15,24,66,58,211,0.003021799959242344,0.0003888999344781041,models\baselines_statistical\60min\AR_DIRECT_RIDGE\relative_humidity_h60min.joblib
60min,AR_DIRECT_RIDGE,relative_humidity,120,1.0,24,0.15,24,66,58,211,0.0010434999130666256,0.00017340003978461027,models\baselines_statistical\60min\AR_DIRECT_RIDGE\relative_humidity_h120min.joblib
60min,AR_DIRECT_RIDGE,relative_humidity,240,10.0,24,0.15,24,66,58,211,0.00232439988758415,0.00041610002517700195,models\baselines_statistical\60min\AR_DIRECT_RIDGE\relative_humidity_h240min.joblib
60min,AR_DIRECT_RIDGE,relative_humidity,480,10.0,24,0.15,24,66,58,211,0.002343700034543872,0.00039329996798187494,models\baselines_statistical\60min\AR_DIRECT_RIDGE\relative_humidity_h480min.joblib
60min,VAR_DIRECT_RIDGE,temperature,60,1.0,24,0.15,48,66,58,211,0.0028457000153139234,0.0005395000334829092,models\baselines_statistical\60min\VAR_DIRECT_RIDGE\temperature_h60min.joblib
60min,VAR_DIRECT_RIDGE,temperature,120,0.1,24,0.15,48,66,58,211,0.0011177000124007463,0.00017520005349069834,models\baselines_statistical\60min\VAR_DIRECT_RIDGE\temperature_h120min.joblib
60min,VAR_DIRECT_RIDGE,temperature,240,100.0,24,0.15,48,66,58,211,0.0008325999369844794,0.00021920003928244114,models\baselines_statistical\60min\VAR_DIRECT_RIDGE\temperature_h240min.joblib
60min,VAR_DIRECT_RIDGE,temperature,480,100.0,24,0.15,48,66,58,211,0.0008410000009462237,0.0002277999883517623,models\baselines_statistical\60min\VAR_DIRECT_RIDGE\temperature_h480min.joblib
60min,VAR_DIRECT_RIDGE,relative_humidity,60,0.1,24,0.15,48,66,58,211,0.0015564000932499766,0.00022179994266480207,models\baselines_statistical\60min\VAR_DIRECT_RIDGE\relative_humidity_h60min.joblib
60min,VAR_DIRECT_RIDGE,relative_humidity,120,0.1,24,0.15,48,66,58,211,0.004102000035345554,0.00047830003313720226,models\baselines_statistical\60min\VAR_DIRECT_RIDGE\relative_humidity_h120min.joblib
60min,VAR_DIRECT_RIDGE,relative_humidity,240,10.0,24,0.15,48,66,58,211,0.0007285000756382942,0.00018039997667074203,models\baselines_statistical\60min\VAR_DIRECT_RIDGE\relative_humidity_h240min.joblib
60min,VAR_DIRECT_RIDGE,relative_humidity,480,10.0,24,0.15,48,66,58,211,0.0026281001046299934,0.0005099999252706766,models\baselines_statistical\60min\VAR_DIRECT_RIDGE\relative_humidity_h480min.joblib
