resolution,model,target,horizon_minutes,alpha,validation_mae,fit_seconds,inference_seconds
20min,VAR_DIRECT_RIDGE,relative_humidity,480,10.0,3.7110812874364028,0.0022115999599918723,0.00031150004360824823
20min,VAR_DIRECT_RIDGE,relative_humidity,480,100.0,3.6901398228037188,0.002516099950298667,0.00038300000596791506
30min,AR_DIRECT_RIDGE,temperature,60,0.01,0.5942502692594441,0.0016535999020561576,0.00019749999046325684
30min,AR_DIRECT_RIDGE,temperature,60,0.1,0.5570656322308508,0.0011232999386265874,0.000125700025819242
30min,AR_DIRECT_RIDGE,temperature,60,1.0,0.6171333455285455,0.0008122998988255858,0.00012000009883195162
30min,AR_DIRECT_RIDGE,temperature,60,10.0,0.7785787874784077,0.0006859001005068421,0.00011849997099488974
30min,AR_DIRECT_RIDGE,temperature,60,100.0,1.0204703638247157,0.0006075999699532986,0.00011809996794909239
30min,AR_DIRECT_RIDGE,temperature,120,0.01,0.9772479875609985,0.0015466999029740691,0.00014180003199726343
30min,AR_DIRECT_RIDGE,temperature,120,0.1,0.9555025790230955,0.0010344000766053796,0.00011819996871054173
30min,AR_DIRECT_RIDGE,temperature,120,1.0,0.9528714881185978,0.0008191999513655901,0.00012670003343373537
30min,AR_DIRECT_RIDGE,temperature,120,10.0,1.0427485525015168,0.0009192000143229961,0.0002463000128045678
30min,AR_DIRECT_RIDGE,temperature,120,100.0,1.2093816797349919,0.0006768000312149525,0.00012839992996305227
30min,AR_DIRECT_RIDGE,temperature,240,0.01,1.318969027271388,0.001380500034429133,0.00013800000306218863
30min,AR_DIRECT_RIDGE,temperature,240,0.1,1.2806100069647741,0.0010319999419152737,0.00011989998165518045
30min,AR_DIRECT_RIDGE,temperature,240,1.0,1.247664464768981,0.0007531000301241875,0.00011959997937083244
30min,AR_DIRECT_RIDGE,temperature,240,10.0,1.2391103845335005,0.00173329992685467,0.0005029999883845448
30min,AR_DIRECT_RIDGE,temperature,240,100.0,1.3552654571368776,0.0022314999951049685,0.0003882000455632806
30min,AR_DIRECT_RIDGE,temperature,480,0.01,1.6295604261459884,0.001651700004003942,0.0002586999908089638
30min,AR_DIRECT_RIDGE,temperature,480,0.1,1.4596326368252854,0.0015894999960437417,0.00020999996922910213
30min,AR_DIRECT_RIDGE,temperature,480,1.0,1.3975076060210583,0.0012249998981133103,0.00015520001761615276
30min,AR_DIRECT_RIDGE,temperature,480,10.0,1.3560567145783027,0.0009006001055240631,0.0001509001012891531
30min,AR_DIRECT_RIDGE,temperature,480,100.0,1.287492865902865,0.0008413000032305717,0.00015970005188137293
30min,AR_DIRECT_RIDGE,relative_humidity,60,0.01,1.7361666426381765,0.0053684000158682466,0.000417000032030046
30min,AR_DIRECT_RIDGE,relative_humidity,60,0.1,1.6362624633137153,0.00399450003169477,0.0004240999696776271
30min,AR_DIRECT_RIDGE,relative_humidity,60,1.0,1.9619972046873828,0.0029418000485748053,0.0004007000243291259
30min,AR_DIRECT_RIDGE,relative_humidity,60,10.0,2.411465851647506,0.0021748000290244818,0.00033849989995360374
30min,AR_DIRECT_RIDGE,relative_humidity,60,100.0,3.1048602636700764,0.0019036999437958002,0.0003353999927639961
30min,AR_DIRECT_RIDGE,relative_humidity,120,0.01,2.999866256721783,0.0016068000113591552,0.00014260003808885813
30min,AR_DIRECT_RIDGE,relative_humidity,120,0.1,2.9015178433395956,0.001067299977876246,0.00012089998926967382
30min,AR_DIRECT_RIDGE,relative_humidity,120,1.0,3.046798018678599,0.0007642999989911914,0.00015979993622750044
30min,AR_DIRECT_RIDGE,relative_humidity,120,10.0,3.2964996589445406,0.0008220000891014934,0.00012479990255087614
30min,AR_DIRECT_RIDGE,relative_humidity,120,100.0,3.7218854008765625,0.0006266999989748001,0.00011579995043575764
30min,AR_DIRECT_RIDGE,relative_humidity,240,0.01,4.130748169479897,0.001603799988515675,0.0001906000543385744
30min,AR_DIRECT_RIDGE,relative_humidity,240,0.1,3.9600937745462104,0.001129699987359345,0.0001238000113517046
30min,AR_DIRECT_RIDGE,relative_humidity,240,1.0,3.893116813427065,0.0007734999526292086,0.00012019998393952847
30min,AR_DIRECT_RIDGE,relative_humidity,240,10.0,4.041331257498418,0.000687299994751811,0.00011719996109604836
30min,AR_DIRECT_RIDGE,relative_humidity,240,100.0,4.581688005030457,0.000592100084759295,0.00011039990931749344
30min,AR_DIRECT_RIDGE,relative_humidity,480,0.01,4.338144879644724,0.001502599916420877,0.0001447000540792942
30min,AR_DIRECT_RIDGE,relative_humidity,480,0.1,4.171323711184535,0.001068499987013638,0.00011820008512586355
30min,AR_DIRECT_RIDGE,relative_humidity,480,1.0,4.111246272074795,0.0007694999221712351,0.00011620006989687681
30min,AR_DIRECT_RIDGE,relative_humidity,480,10.0,3.9811923668105145,0.0006435000104829669,0.00011290004476904869
30min,AR_DIRECT_RIDGE,relative_humidity,480,100.0,3.8934494234680685,0.0005840000230818987,0.00011440005619078875
30min,VAR_DIRECT_RIDGE,temperature,60,0.01,1.3065691998733644,0.00224609998986125,0.00025020004250109196
30min,VAR_DIRECT_RIDGE,temperature,60,0.1,1.1130992676603122,0.0019475999288260937,0.00020860007498413324
30min,VAR_DIRECT_RIDGE,temperature,60,1.0,0.88995590780536,0.0013133999891579151,0.00019950000569224358
30min,VAR_DIRECT_RIDGE,temperature,60,10.0,0.8180342009421875,0.0010281000286340714,0.0001954999752342701
30min,VAR_DIRECT_RIDGE,temperature,60,100.0,0.9250106090985158,0.0008814999600872397,0.00019249995239078999
30min,VAR_DIRECT_RIDGE,temperature,120,0.01,1.7027460656795956,0.005983400042168796,0.0007301999721676111
30min,VAR_DIRECT_RIDGE,temperature,120,0.1,1.4518299532927266,0.001992700039409101,0.00023049989249557257
30min,VAR_DIRECT_RIDGE,temperature,120,1.0,1.2284648272183085,0.0010107000125572085,0.00018540001474320889
30min,VAR_DIRECT_RIDGE,temperature,120,10.0,1.1205962700613883,0.001064100069925189,0.00018390000332146883
30min,VAR_DIRECT_RIDGE,temperature,120,100.0,1.1289269919594207,0.0008935999358072877,0.00019990000873804092
30min,VAR_DIRECT_RIDGE,temperature,240,0.01,1.6975277074436292,0.0021075999829918146,0.00025209994055330753
30min,VAR_DIRECT_RIDGE,temperature,240,0.1,1.5991308568508438,0.0019257001113146544,0.00019189994782209396
30min,VAR_DIRECT_RIDGE,temperature,240,1.0,1.5130213621825455,0.003312199958600104,0.0005012999754399061
30min,VAR_DIRECT_RIDGE,temperature,240,10.0,1.41668672972209,0.002759499941021204,0.0004458000184968114
30min,VAR_DIRECT_RIDGE,temperature,240,100.0,1.303005863820254,0.0009317999938502908,0.0002767000114545226
30min,VAR_DIRECT_RIDGE,temperature,480,0.01,2.0390439359451316,0.002625599969178438,0.0002856999635696411
30min,VAR_DIRECT_RIDGE,temperature,480,0.1,1.7946267650801984,0.0019363000756129622,0.0002071000635623932
30min,VAR_DIRECT_RIDGE,temperature,480,1.0,1.560341763712917,0.0013102000812068582,0.00018440000712871552
30min,VAR_DIRECT_RIDGE,temperature,480,10.0,1.4189883582992429,0.001030299928970635,0.00019880000036209822
30min,VAR_DIRECT_RIDGE,temperature,480,100.0,1.310727504568311,0.0008816999616101384,0.0001984999980777502
30min,VAR_DIRECT_RIDGE,relative_humidity,60,0.01,3.367407283316675,0.0022766999900341034,0.00027249997947365046
30min,VAR_DIRECT_RIDGE,relative_humidity,60,0.1,2.870505706197942,0.0013108999701216817,0.00020620005670934916
30min,VAR_DIRECT_RIDGE,relative_humidity,60,1.0,2.4347588483015157,0.0013676999369636178,0.0002044000430032611
30min,VAR_DIRECT_RIDGE,relative_humidity,60,10.0,2.653986493701729,0.0010639999527484179,0.00020100001711398363
30min,VAR_DIRECT_RIDGE,relative_humidity,60,100.0,3.102863877073842,0.000893999938853085,0.0001919000642374158
30min,VAR_DIRECT_RIDGE,relative_humidity,120,0.01,4.687436298623401,0.0028683000709861517,0.0003011999651789665
30min,VAR_DIRECT_RIDGE,relative_humidity,120,0.1,3.999392505541427,0.0015279999934136868,0.0002864999696612358
30min,VAR_DIRECT_RIDGE,relative_humidity,120,1.0,3.446022184025266,0.0009838000405579805,0.00016659998800605536
30min,VAR_DIRECT_RIDGE,relative_humidity,120,10.0,3.4953044632042394,0.0007726999465376139,0.000188400037586689
30min,VAR_DIRECT_RIDGE,relative_humidity,120,100.0,3.7964789889141586,0.0007515000179409981,0.00018540001474320889
30min,VAR_DIRECT_RIDGE,relative_humidity,240,0.01,4.816983226295088,0.003995900042355061,0.00028449995443224907
30min,VAR_DIRECT_RIDGE,relative_humidity,240,0.1,4.19680747536023,0.0013879999751225114,0.00023140001576393843
30min,VAR_DIRECT_RIDGE,relative_humidity,240,1.0,3.971066838291811,0.0013552999589592218,0.0002082000719383359
30min,VAR_DIRECT_RIDGE,relative_humidity,240,10.0,4.022292306886879,0.0010415998985990882,0.00018660002388060093
30min,VAR_DIRECT_RIDGE,relative_humidity,240,100.0,4.5387129023866635,0.0008894000202417374,0.00019449996761977673
30min,VAR_DIRECT_RIDGE,relative_humidity,480,0.01,4.347012213135001,0.002101499936543405,0.00024860003031790257
30min,VAR_DIRECT_RIDGE,relative_humidity,480,0.1,3.916180454863814,0.002530100056901574,0.00033109996002167463
30min,VAR_DIRECT_RIDGE,relative_humidity,480,1.0,3.6871410374073106,0.0013564999680966139,0.00024040008429437876
30min,VAR_DIRECT_RIDGE,relative_humidity,480,10.0,3.6829291358858476,0.0008580000139772892,0.00019289995543658733
30min,VAR_DIRECT_RIDGE,relative_humidity,480,100.0,3.837461518398956,0.0009150999831035733,0.00017290003597736359
60min,AR_DIRECT_RIDGE,temperature,60,0.01,0.7223218891955283,0.0012384000001475215,0.000211200094781816
60min,AR_DIRECT_RIDGE,temperature,60,0.1,0.551209824297132,0.001332600018940866,0.00019029993563890457
60min,AR_DIRECT_RIDGE,temperature,60,1.0,0.5324294749132243,0.0010220999829471111,0.0001404000213369727
60min,AR_DIRECT_RIDGE,temperature,60,10.0,0.8019931942429193,0.0008179000578820705,0.0001351999817416072
60min,AR_DIRECT_RIDGE,temperature,60,100.0,1.4097338722010433,0.000763599993661046,0.00014409993309527636
60min,AR_DIRECT_RIDGE,temperature,120,0.01,1.0410356923611646,0.002018099999986589,0.0002226999495178461
60min,AR_DIRECT_RIDGE,temperature,120,0.1,0.89751348982927,0.0008530999766662717,0.0001105000264942646
60min,AR_DIRECT_RIDGE,temperature,120,1.0,0.8860863238158396,0.0013024000218138099,0.00020159990526735783
60min,AR_DIRECT_RIDGE,temperature,120,10.0,1.0529162629810254,0.00256609998177737,0.00037430005613714457
60min,AR_DIRECT_RIDGE,temperature,120,100.0,1.4529415296907877,0.0019368999637663364,0.00035039999056607485
60min,AR_DIRECT_RIDGE,temperature,240,0.01,1.5491952658301433,0.0011602999875321984,0.00012660003267228603
60min,AR_DIRECT_RIDGE,temperature,240,0.1,1.4893324545276934,0.000776599976234138,0.0001094000181183219
60min,AR_DIRECT_RIDGE,temperature,240,1.0,1.4664554776171044,0.0006954999407753348,0.00010419997852295637
60min,AR_DIRECT_RIDGE,temperature,240,10.0,1.3944536607537332,0.0005737999454140663,0.00010579999070614576
60min,AR_DIRECT_RIDGE,temperature,240,100.0,1.5343979616339567,0.0005474999779835343,0.00010750000365078449
60min,AR_DIRECT_RIDGE,temperature,480,0.01,1.807011682936628,0.0037204999243840575,0.00039579998701810837
60min,AR_DIRECT_RIDGE,temperature,480,0.1,1.7389809460018053,0.002746500074863434,0.00037079991307109594
60min,AR_DIRECT_RIDGE,temperature,480,1.0,1.6217512677042947,0.0024061999283730984,0.0003587000537663698
60min,AR_DIRECT_RIDGE,temperature,480,10.0,1.4056731998417227,0.0014953999780118465,0.00014109991025179625
60min,AR_DIRECT_RIDGE,temperature,480,100.0,1.547789111143834,0.0006074999691918492,0.0001097000204026699
60min,AR_DIRECT_RIDGE,relative_humidity,60,0.01,1.965981232907241,0.002445999998599291,0.0004950000438839197
60min,AR_DIRECT_RIDGE,relative_humidity,60,0.1,1.7541340974656048,0.003216500044800341,0.0003703000256791711
60min,AR_DIRECT_RIDGE,relative_humidity,60,1.0,1.891947213417474,0.00266400002874434,0.00035530002787709236
60min,AR_DIRECT_RIDGE,relative_humidity,60,10.0,2.505519037475096,0.0021557000000029802,0.0003560000332072377
60min,AR_DIRECT_RIDGE,relative_humidity,60,100.0,4.1427841789133515,0.0019519999623298645,0.00034390005748718977
60min,AR_DIRECT_RIDGE,relative_humidity,120,0.01,3.3241479425280707,0.001658200053498149,0.00016249995678663254
60min,AR_DIRECT_RIDGE,relative_humidity,120,0.1,3.011864861586847,0.0028300000121816993,0.0004605000140145421
60min,AR_DIRECT_RIDGE,relative_humidity,120,1.0,2.9605649396567166,0.002439900068566203,0.00018099998123943806
60min,AR_DIRECT_RIDGE,relative_humidity,120,10.0,3.4305570090735844,0.0010603000409901142,0.0001498999772593379
60min,AR_DIRECT_RIDGE,relative_humidity,120,100.0,4.284422399808688,0.0007659000111743808,0.0001343999756500125
60min,AR_DIRECT_RIDGE,relative_humidity,240,0.01,6.026801633825264,0.0011873000767081976,0.00012499990407377481
60min,AR_DIRECT_RIDGE,relative_humidity,240,0.1,5.593307406807653,0.0008307999232783914,0.00010790000669658184
60min,AR_DIRECT_RIDGE,relative_humidity,240,1.0,5.07659448093103,0.0026555999647825956,0.00041119998786598444
60min,AR_DIRECT_RIDGE,relative_humidity,240,10.0,4.7436053007413,0.002252300037071109,0.0003537999000400305
60min,AR_DIRECT_RIDGE,relative_humidity,240,100.0,4.837357109973966,0.0019094999879598618,0.0003440999425947666
60min,AR_DIRECT_RIDGE,relative_humidity,480,0.01,5.727566920700071,0.002301800064742565,0.0004957999335601926
60min,AR_DIRECT_RIDGE,relative_humidity,480,0.1,5.37888934297856,0.003028900013305247,0.00034659996163100004
60min,AR_DIRECT_RIDGE,relative_humidity,480,1.0,4.664538743592654,0.0024013000074774027,0.00036609999369829893
60min,AR_DIRECT_RIDGE,relative_humidity,480,10.0,3.966593822482379,0.0021962999599054456,0.00036479998379945755
60min,AR_DIRECT_RIDGE,relative_humidity,480,100.0,4.337219907105712,0.0019202000694349408,0.0003402000293135643
60min,VAR_DIRECT_RIDGE,temperature,60,0.01,0.7000680301819127,0.005424499977380037,0.00040719995740801096
60min,VAR_DIRECT_RIDGE,temperature,60,0.1,0.546894678862649,0.003514599986374378,0.0003749999450519681
60min,VAR_DIRECT_RIDGE,temperature,60,1.0,0.5354062468177015,0.0022944998927414417,0.0003090000245720148
60min,VAR_DIRECT_RIDGE,temperature,60,10.0,0.7076372911625801,0.000991899985820055,0.00015440001152455807
60min,VAR_DIRECT_RIDGE,temperature,60,100.0,1.141050689733968,0.0007990999147295952,0.00013870000839233398
60min,VAR_DIRECT_RIDGE,temperature,120,0.01,1.0139768070248614,0.005424499977380037,0.0003839000128209591
60min,VAR_DIRECT_RIDGE,temperature,120,0.1,0.8227885392036794,0.0036136999260634184,0.0003567000385373831
60min,VAR_DIRECT_RIDGE,temperature,120,1.0,0.8846295478447133,0.0027914000675082207,0.00020889996085315943
60min,VAR_DIRECT_RIDGE,temperature,120,10.0,0.973635415537778,0.0007864999352023005,0.00011620006989687681
60min,VAR_DIRECT_RIDGE,temperature,120,100.0,1.2540953103685433,0.0008978999685496092,0.00012949993833899498
60min,VAR_DIRECT_RIDGE,temperature,240,0.01,1.8380798017613613,0.001828499953262508,0.0002106999745592475
60min,VAR_DIRECT_RIDGE,temperature,240,0.1,1.5530826673422182,0.0016318999696522951,0.00015870004426687956
60min,VAR_DIRECT_RIDGE,temperature,240,1.0,1.497593267129566,0.0011097000679001212,0.0001525001134723425
60min,VAR_DIRECT_RIDGE,temperature,240,10.0,1.4794444262293192,0.0009017999982461333,0.00013830000534653664
60min,VAR_DIRECT_RIDGE,temperature,240,100.0,1.3967078641176625,0.0008282000198960304,0.00013840000610798597
60min,VAR_DIRECT_RIDGE,temperature,480,0.01,2.129678486996949,0.0022684000432491302,0.0002516999375075102
60min,VAR_DIRECT_RIDGE,temperature,480,0.1,1.882309744554192,0.0014813999878242612,0.00015540001913905144
60min,VAR_DIRECT_RIDGE,temperature,480,1.0,1.734792576086969,0.0010757999261841178,0.00014080002438277006
60min,VAR_DIRECT_RIDGE,temperature,480,10.0,1.561786826971547,0.0009028998902067542,0.00013970001600682735
60min,VAR_DIRECT_RIDGE,temperature,480,100.0,1.3600650581318723,0.0007871999405324459,0.0001474000746384263
60min,VAR_DIRECT_RIDGE,relative_humidity,60,0.01,2.24107281418603,0.0022263999562710524,0.00016609998419880867
60min,VAR_DIRECT_RIDGE,relative_humidity,60,0.1,1.7705609900208288,0.0013936000177636743,0.00013960001524537802
60min,VAR_DIRECT_RIDGE,relative_humidity,60,1.0,1.8773407658951413,0.0010551000013947487,0.0001398000167682767
60min,VAR_DIRECT_RIDGE,relative_humidity,60,10.0,2.428754967823421,0.0008758000330999494,0.00013770000077784061
60min,VAR_DIRECT_RIDGE,relative_humidity,60,100.0,3.6789524990092097,0.000785500044003129,0.0001370999962091446
60min,VAR_DIRECT_RIDGE,relative_humidity,120,0.01,3.495730987052227,0.001812300062738359,0.00013880000915378332
60min,VAR_DIRECT_RIDGE,relative_humidity,120,0.1,2.874413311282575,0.001082399976439774,0.00012880004942417145
60min,VAR_DIRECT_RIDGE,relative_humidity,120,1.0,2.9071343377610095,0.0007777999853715301,0.0007376000285148621
60min,VAR_DIRECT_RIDGE,relative_humidity,120,10.0,3.36476891866532,0.002419100026600063,0.000390700064599514
60min,VAR_DIRECT_RIDGE,relative_humidity,120,100.0,4.052250486133125,0.002045900095254183,0.0003567999228835106
60min,VAR_DIRECT_RIDGE,relative_humidity,240,0.01,6.642375187803925,0.0016184999840334058,0.00013269996270537376
60min,VAR_DIRECT_RIDGE,relative_humidity,240,0.1,5.6328212956677834,0.001019999966956675,0.00011360005009919405
60min,VAR_DIRECT_RIDGE,relative_humidity,240,1.0,5.004453051956706,0.0007577999494969845,0.00010710000060498714
60min,VAR_DIRECT_RIDGE,relative_humidity,240,10.0,4.773468753419439,0.0006374999647960067,0.000112100038677454
60min,VAR_DIRECT_RIDGE,relative_humidity,240,100.0,4.837827237823603,0.000574899953790009,0.00010379997547715902
60min,VAR_DIRECT_RIDGE,relative_humidity,480,0.01,5.791015735874358,0.0022975000320002437,0.00017469993326812983
60min,VAR_DIRECT_RIDGE,relative_humidity,480,0.1,5.026470433054036,0.0014492999762296677,0.00015570002142339945
60min,VAR_DIRECT_RIDGE,relative_humidity,480,1.0,4.363688113974688,0.0010769999353215098,0.00014220003504306078
60min,VAR_DIRECT_RIDGE,relative_humidity,480,10.0,3.8046740910751793,0.0009043000172823668,0.00014030002057552338
60min,VAR_DIRECT_RIDGE,relative_humidity,480,100.0,4.088609843115321,0.0023645999608561397,0.0003966999938711524
