resolution,model,target,horizon_minutes,alpha,validation_mae,fit_seconds,inference_seconds
12min,AR_DIRECT_RIDGE,temperature,60,1.0,0.7131282269167679,0.002148900064639747,0.00018679990898817778
12min,AR_DIRECT_RIDGE,temperature,60,10.0,0.9240450443742773,0.0016746999463066459,0.00021140009630471468
12min,AR_DIRECT_RIDGE,temperature,60,100.0,1.165452279533287,0.0013047000393271446,0.00025619997177273035
12min,AR_DIRECT_RIDGE,temperature,120,0.01,0.9921384039511504,0.007394499960355461,0.0003114000428467989
12min,AR_DIRECT_RIDGE,temperature,120,0.1,0.9204515389968732,0.003768299939110875,0.00025210005696862936
12min,AR_DIRECT_RIDGE,temperature,120,1.0,0.9429652041552307,0.00306979997549206,0.00025919999461621046
12min,AR_DIRECT_RIDGE,temperature,120,10.0,1.094717912452124,0.0017822000663727522,0.0002300000051036477
12min,AR_DIRECT_RIDGE,temperature,120,100.0,1.2400083692128823,0.0013246000744402409,0.00029500003438442945
12min,AR_DIRECT_RIDGE,temperature,240,0.01,1.4140234502793538,0.006004000082612038,0.0002634999109432101
12min,AR_DIRECT_RIDGE,temperature,240,0.1,1.3045752422298662,0.003880699980072677,0.0003704000264406204
12min,AR_DIRECT_RIDGE,temperature,240,1.0,1.3131551491704374,0.0028430999955162406,0.00033790001180022955
12min,AR_DIRECT_RIDGE,temperature,240,10.0,1.3102265299918423,0.0016152000753208995,0.00022869999520480633
12min,AR_DIRECT_RIDGE,temperature,240,100.0,1.2484224302588376,0.0013720999704673886,0.0003233000170439482
12min,AR_DIRECT_RIDGE,temperature,480,0.01,1.8071590385440262,0.005655599990859628,0.0002685000654309988
12min,AR_DIRECT_RIDGE,temperature,480,0.1,1.5690648034576127,0.0034903999185189605,0.00024580000899732113
12min,AR_DIRECT_RIDGE,temperature,480,1.0,1.4717079203325207,0.002635100041516125,0.00021029997151345015
12min,AR_DIRECT_RIDGE,temperature,480,10.0,1.4430235225960883,0.0024259000783786178,0.00032110000029206276
12min,AR_DIRECT_RIDGE,temperature,480,100.0,1.4224812307227013,0.0015581999905407429,0.0002837000647559762
12min,AR_DIRECT_RIDGE,relative_humidity,60,0.01,2.298224308342242,0.0061963999178260565,0.00025340006686747074
12min,AR_DIRECT_RIDGE,relative_humidity,60,0.1,2.023364272853973,0.003450099960900843,0.000215600011870265
12min,AR_DIRECT_RIDGE,relative_humidity,60,1.0,2.23108712553788,0.002620000042952597,0.00019699998665601015
12min,AR_DIRECT_RIDGE,relative_humidity,60,10.0,3.0177257717143515,0.0015406999737024307,0.000206099939532578
12min,AR_DIRECT_RIDGE,relative_humidity,60,100.0,3.9361839960164464,0.0015591999981552362,0.00023530004546046257
12min,AR_DIRECT_RIDGE,relative_humidity,120,0.01,3.5606723996800858,0.005849099950864911,0.00027980003505945206
12min,AR_DIRECT_RIDGE,relative_humidity,120,0.1,3.030709774303876,0.0036464999429881573,0.00021770002786070108
12min,AR_DIRECT_RIDGE,relative_humidity,120,1.0,3.0774247525229845,0.002070200047455728,0.00019609997980296612
12min,AR_DIRECT_RIDGE,relative_humidity,120,10.0,3.6344148139885353,0.0014507999876514077,0.00022229994647204876
12min,AR_DIRECT_RIDGE,relative_humidity,120,100.0,4.128647579143377,0.0011831000447273254,0.0002177999122068286
12min,AR_DIRECT_RIDGE,relative_humidity,240,0.01,4.821728223522224,0.00705979997292161,0.00030830001924186945
12min,AR_DIRECT_RIDGE,relative_humidity,240,0.1,4.2970532013276275,0.0034549999982118607,0.00023509992752224207
12min,AR_DIRECT_RIDGE,relative_humidity,240,1.0,4.140083298387765,0.002481500036083162,0.00022659997921437025
12min,AR_DIRECT_RIDGE,relative_humidity,240,10.0,4.148012963655925,0.0014527000021189451,0.0002250999677926302
12min,AR_DIRECT_RIDGE,relative_humidity,240,100.0,4.270652197958609,0.0012993999989703298,0.00028280005790293217
12min,AR_DIRECT_RIDGE,relative_humidity,480,0.01,5.407582624992279,0.006676899967715144,0.00030800001695752144
12min,AR_DIRECT_RIDGE,relative_humidity,480,0.1,4.834910755290469,0.0036293999291956425,0.00021189998369663954
12min,AR_DIRECT_RIDGE,relative_humidity,480,1.0,4.633796959704168,0.0020553000504150987,0.0002606000052765012
12min,AR_DIRECT_RIDGE,relative_humidity,480,10.0,4.508372466001883,0.0015795999206602573,0.00021950004156678915
12min,AR_DIRECT_RIDGE,relative_humidity,480,100.0,4.1438247979105185,0.001244999933987856,0.00020460004452615976
12min,VAR_DIRECT_RIDGE,temperature,60,0.01,0.9543530750813373,0.012266299920156598,0.0005558000411838293
12min,VAR_DIRECT_RIDGE,temperature,60,0.1,0.8440377230538936,0.00622119999025017,0.0002778000198304653
12min,VAR_DIRECT_RIDGE,temperature,60,1.0,0.774337557130106,0.004921999992802739,0.0003594999434426427
12min,VAR_DIRECT_RIDGE,temperature,60,10.0,0.8822785867384043,0.0022256000665947795,0.0002938999095931649
12min,VAR_DIRECT_RIDGE,temperature,60,100.0,1.1082539649017813,0.0018260000506415963,0.00024880003184080124
12min,VAR_DIRECT_RIDGE,temperature,120,0.01,1.3124912065063932,0.009683200041763484,0.00032380002085119486
12min,VAR_DIRECT_RIDGE,temperature,120,0.1,1.1369409640290231,0.006036699982360005,0.00031560007482767105
12min,VAR_DIRECT_RIDGE,temperature,120,1.0,0.9573383836756261,0.0036651999689638615,0.000277700019069016
12min,VAR_DIRECT_RIDGE,temperature,120,10.0,1.0858403180711864,0.0022077999310567975,0.0002660000463947654
12min,VAR_DIRECT_RIDGE,temperature,120,100.0,1.2432664252707797,0.0017115999944508076,0.0002543999580666423
12min,VAR_DIRECT_RIDGE,temperature,240,0.01,1.638940428411607,0.013562300009652972,0.0004878999898210168
12min,VAR_DIRECT_RIDGE,temperature,240,0.1,1.4606194751791877,0.007809799979440868,0.0003731000469997525
12min,VAR_DIRECT_RIDGE,temperature,240,1.0,1.2954090848750432,0.003832099959254265,0.0003103000344708562
12min,VAR_DIRECT_RIDGE,temperature,240,10.0,1.2829360154362428,0.0027966999914497137,0.00027439999394118786
12min,VAR_DIRECT_RIDGE,temperature,240,100.0,1.2141119465622052,0.002875500009395182,0.00032049999572336674
