family_a,family_b,resolution_minutes,target,horizon_minutes,n_origins,newey_west_lag,mean_squared_error_difference_a_minus_b,newey_west_long_run_variance,dm_statistic,p_value,status,direction,p_value_holm_global,significant_after_global_holm
HYBRID_ROBUST,BASELINE,20,temperature,60,556,2,-2.459356594798157,63.29595230743262,-7.289050020004774,3.1214815501742e-13,ok,HYBRID_ROBUST_better,6.211748284846658e-11,True
HYBRID_ROBUST,BASELINE,20,temperature,120,556,5,-1.5558598892254658,39.852169969584516,-5.81141504604364,6.194696754162719e-09,ok,HYBRID_ROBUST_better,1.1955764735534047e-06,True
HYBRID_ROBUST,BASELINE,20,temperature,240,556,11,-0.604283169278383,15.90407634345779,-3.5729230934203144,0.0003530184637855167,ok,HYBRID_ROBUST_better,0.059660120379752324,False
HYBRID_ROBUST,BASELINE,20,temperature,480,556,23,-0.09506992064235913,1.7955936698878705,-1.6729250889097358,0.09434204405719214,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,BASELINE,30,relative_humidity,60,350,1,-15.578321211446086,2283.746581108784,-6.098608032603952,1.0699607489229587e-09,ok,HYBRID_ROBUST_better,2.0864234603997695e-07,True
HYBRID_ROBUST,BASELINE,30,relative_humidity,120,350,3,-9.38867596493432,1721.336404185315,-4.233557821426918,2.3002300594543917e-05,ok,HYBRID_ROBUST_better,0.004140414107017905,True
HYBRID_ROBUST,BASELINE,30,relative_humidity,240,350,7,-4.181179189693648,1162.6060731912114,-2.2941219948554368,0.021783492301658134,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,BASELINE,30,relative_humidity,480,350,15,-0.8700369660864801,195.85403632380348,-1.1630689570623638,0.2448015258328169,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,BASELINE,30,temperature,60,350,1,-2.3092193615566776,40.77565324781774,-6.76548208926899,1.3286603233282107e-11,ok,HYBRID_ROBUST_better,2.630747440189857e-09,True
HYBRID_ROBUST,BASELINE,30,temperature,120,350,3,-1.4842521733109273,24.21985530616344,-5.642297008891911,1.677963125524097e-08,ok,HYBRID_ROBUST_better,3.1881299384957845e-06,True
HYBRID_ROBUST,BASELINE,30,temperature,240,350,7,-0.5752483739848828,11.247807529454107,-3.2088948322886903,0.001332462205590428,ok,HYBRID_ROBUST_better,0.21719133951123976,False
HYBRID_ROBUST,BASELINE,30,temperature,480,350,15,-0.07334629810159334,1.070402388798294,-1.3262905847037232,0.18474346430799637,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,BASELINE,60,relative_humidity,60,211,0,-13.858999987441244,1260.1540695285862,-5.671021566568653,1.419485257186064e-08,ok,HYBRID_ROBUST_better,2.7112168412253823e-06,True
HYBRID_ROBUST,BASELINE,60,relative_humidity,120,211,1,-8.558338342975219,963.6342073510772,-4.004742302137244,6.208512492299495e-05,ok,HYBRID_ROBUST_better,0.010740726611678126,True
HYBRID_ROBUST,BASELINE,60,relative_humidity,240,211,3,-4.49250068885994,2131.33108108782,-1.4135263895668664,0.15750100769658293,ok,HYBRID_ROBUST_better,1.0,False
