resolution,resolution_minutes,architecture,candidate_id,parameters,mean_normalized_rmse,sd_normalized_rmse,mean_rmse,sd_rmse,mean_r2,sd_r2,minimum_r2,median_best_epoch,mean_fit_seconds,mean_inference_seconds,independent_runs
30min,30,TCN,2,"{""dense_units"": 48, ""dilations"": [1, 2, 4, 8], ""dropout"": 0.2, ""filters"": 64, ""kernel_size"": 3, ""learning_rate"": 0.0005}",0.6870108415989306,0.15836361244672775,6.111744159995009,1.4569839774974371,0.33060363680124283,0.2963415979423879,-0.4720686674118042,80.0,7.788324700008768,0.3544758666927616,3
4min,4,GRU,1,"{""dense_units"": 32, ""dropout"": 0.2, ""learning_rate"": 0.001, ""recurrent_units"": 64}",0.32914048840284815,0.013003429693695723,2.8223514289681746,0.08581848186363965,0.8636155898372332,0.010867486440580857,0.790348470211029,34.0,87.49491066660266,0.7598082999077936,3
4min,4,GRU,2,"{""dense_units"": 48, ""dropout"": 0.3, ""learning_rate"": 0.0005, ""recurrent_units"": 96}",0.36309837439360804,0.021807357460113905,3.132173297414191,0.20330963606866345,0.8349501291910807,0.020780085511884195,0.7208782434463501,70.0,161.3209862000076,0.9466140333097428,3
4min,4,LSTM,1,"{""dense_units"": 32, ""dropout"": 0.2, ""learning_rate"": 0.001, ""recurrent_units"": 64}",0.34413108747396276,0.011539024524465537,2.9949716671444424,0.10178268572185736,0.8527542849381765,0.009861584406247105,0.7758018970489502,30.0,64.19138253336617,0.7512081333746513,3
4min,4,LSTM,2,"{""dense_units"": 48, ""dropout"": 0.3, ""learning_rate"": 0.0005, ""recurrent_units"": 96}",0.3574427700492338,0.008966417543217111,3.117694547216841,0.0773683298657041,0.842130201558272,0.008077381477330482,0.7547107934951782,41.0,118.53011583335076,1.1836427666712552,3
4min,4,MLP,1,"{""dropout"": 0.2, ""hidden_units"": [128, 64], ""learning_rate"": 0.001}",0.3907636383194703,0.013999308186406498,3.4742671915072365,0.08588132353750069,0.8115533168117205,0.014084767160743179,0.6996656060218811,35.0,5.44896143329485,0.10857840002669643,3
4min,4,MLP,2,"{""dropout"": 0.3, ""hidden_units"": [256, 128], ""learning_rate"": 0.0005}",0.3977167281796327,0.002827754113762027,3.530970160198606,0.033169896038341994,0.8063128838936487,0.0019081505025266073,0.7191078662872314,18.0,4.5594148333572475,0.13375593333815536,3
4min,4,TCN,1,"{""dense_units"": 32, ""dilations"": [1, 2, 4, 8], ""dropout"": 0.1, ""filters"": 32, ""kernel_size"": 3, ""learning_rate"": 0.001}",0.6453230373172021,0.1857111910897697,5.569118149999095,1.6776991315126069,0.44540679703156155,0.28642408836171296,-0.3995593786239624,32.0,36.102539366693236,0.5574324000238752,3
4min,4,TCN,2,"{""dense_units"": 48, ""dilations"": [1, 2, 4, 8], ""dropout"": 0.2, ""filters"": 64, ""kernel_size"": 3, ""learning_rate"": 0.0005}",0.767799480599367,0.2157292891532411,6.772091083610756,1.8430541019780122,0.2340013012290001,0.3820691594929447,-0.2982867956161499,43.0,65.53062366667048,0.931184266655085,3
60min,60,GRU,1,"{""dense_units"": 32, ""dropout"": 0.2, ""learning_rate"": 0.001, ""recurrent_units"": 64}",0.5604239322400413,0.070772603243043,4.506847185409547,0.5181797429958193,0.6056798473000526,0.09961189295917856,0.13233834505081177,80.0,6.545286699974288,0.18035493333203098,3
60min,60,GRU,2,"{""dense_units"": 48, ""dropout"": 0.3, ""learning_rate"": 0.0005, ""recurrent_units"": 96}",0.6006872031654963,0.0353814687884861,4.967828357218369,0.3032568849348908,0.5617277895410856,0.061374855207538215,0.13253790140151978,80.0,7.007193700022374,0.15615880000405014,3
60min,60,LSTM,1,"{""dense_units"": 32, ""dropout"": 0.2, ""learning_rate"": 0.001, ""recurrent_units"": 64}",0.5829353156545863,0.15994024385999045,4.730630238803521,1.286376892794211,0.5588734646638235,0.25959675475151694,-0.4265444278717041,80.0,6.15654873335734,0.13941306671282896,3
60min,60,LSTM,2,"{""dense_units"": 48, ""dropout"": 0.3, ""learning_rate"": 0.0005, ""recurrent_units"": 96}",0.6569782729776351,0.07159161025295271,5.387424331335008,0.6202319187350143,0.4742833574612935,0.11085507103640727,0.05282491445541382,80.0,6.4585536333033815,0.1408760000485927,3
60min,60,MLP,1,"{""dropout"": 0.2, ""hidden_units"": [128, 64], ""learning_rate"": 0.001}",0.5650823438696175,0.07215566514603243,4.505897979713507,0.4673895802839343,0.6107800230383873,0.10884062758760457,0.07017117738723755,46.0,3.771948733328221,0.07653636667722215,3
60min,60,MLP,2,"{""dropout"": 0.3, ""hidden_units"": [256, 128], ""learning_rate"": 0.0005}",0.5234351572757842,0.027619118546594393,4.273955094847573,0.2172167096021901,0.6764994636178017,0.03690450066364865,0.46455496549606323,66.0,4.254425800017391,0.0664268999826163,3
60min,60,TCN,1,"{""dense_units"": 32, ""dilations"": [1, 2, 4, 8], ""dropout"": 0.1, ""filters"": 32, ""kernel_size"": 3, ""learning_rate"": 0.001}",0.6527537721147939,0.15845828367089188,5.396856422460497,1.2809522738020038,0.48431071390708286,0.242091131811872,0.10514402389526367,77.0,7.237474266672507,0.19279156667956462,3
60min,60,TCN,2,"{""dense_units"": 48, ""dilations"": [1, 2, 4, 8], ""dropout"": 0.2, ""filters"": 64, ""kernel_size"": 3, ""learning_rate"": 0.0005}",0.772221864113234,0.2677853819739122,6.324296954231367,2.1404041989771416,0.22656503319740295,0.5396042489534397,-1.1336147785186768,79.0,6.408914566699726,0.17276473335611323,3
