target,horizon_minutes,n,rmse,nrmse,r2,mae,bias,resolution,resolution_minutes,architecture,feature_set,candidate_id,split,epochs,independent_runs
relative_humidity,120,142,5.332946564637536,0.4392530229447163,0.7829958200454712,4.275101661682129,-0.291364461183548,30min,30,LSTM,SHT_TIME,2,validation,80,3
relative_humidity,240,142,5.8051797034338355,0.47496046108546325,0.7492786049842834,4.313549518585205,0.464379221200943,30min,30,LSTM,SHT_TIME,2,validation,80,3
relative_humidity,480,142,5.2960254809409095,0.3832001228484291,0.8155142664909363,4.051784515380859,0.3122478127479553,30min,30,LSTM,SHT_TIME,2,validation,80,3
temperature,60,142,1.9588414270307413,0.41122229836088936,0.7433283925056458,1.5831362009048462,-1.3465408086776733,30min,30,MLP,SHT_TIME,2,validation,46,3
temperature,120,142,1.8120801373586088,0.3893922916444236,0.7824570536613464,1.3209702968597412,-0.8514701128005981,30min,30,MLP,SHT_TIME,2,validation,46,3
temperature,240,142,1.9831927524826618,0.4296819113254116,0.738899827003479,1.580200433731079,-0.7881053686141968,30min,30,MLP,SHT_TIME,2,validation,46,3
temperature,480,142,1.8909240360061212,0.3413050801514261,0.7881667613983154,1.4666434526443481,-1.0344539880752563,30min,30,MLP,SHT_TIME,2,validation,46,3
relative_humidity,60,142,5.750822920584151,0.46222507276571795,0.7489205598831177,4.591317653656006,0.0233831275254488,30min,30,MLP,SHT_TIME,2,validation,46,3
relative_humidity,120,142,5.864255779688449,0.48301479254072577,0.7376025915145874,4.81629753112793,-0.41410133242607117,30min,30,MLP,SHT_TIME,2,validation,46,3
relative_humidity,240,142,5.735141630145002,0.46923017928848026,0.7552919387817383,4.242329120635986,0.9489858746528625,30min,30,MLP,SHT_TIME,2,validation,46,3
relative_humidity,480,142,4.881162611878805,0.3531822343465773,0.8432855010032654,3.8316869735717773,-0.24080760776996613,30min,30,MLP,SHT_TIME,2,validation,46,3
temperature,60,142,2.610982160112088,0.5481271071993324,0.5439766645431519,2.0767157077789307,-0.11102490872144699,30min,30,TCN,SHT_TIME,2,validation,80,3
temperature,120,142,3.103355984576116,0.6668705614664462,0.361952006816864,2.4850800037384033,-0.003217106219381094,30min,30,TCN,SHT_TIME,2,validation,80,3
temperature,240,142,3.084268239192088,0.6682427970742114,0.368488073348999,2.0703413486480713,-1.1772241592407227,30min,30,TCN,SHT_TIME,2,validation,80,3
temperature,480,142,3.2761921001559147,0.5913410512761411,0.3641059994697571,2.23317551612854,-1.4026005268096924,30min,30,TCN,SHT_TIME,2,validation,80,3
relative_humidity,60,142,8.952288150789474,0.7195443328827132,0.3915579319000244,7.162087440490723,0.4970383942127228,30min,30,TCN,SHT_TIME,2,validation,80,3
relative_humidity,120,142,7.499017523946913,0.6176634392609864,0.570915937423706,6.336259365081787,-1.67693293094635,30min,30,TCN,SHT_TIME,2,validation,80,3
relative_humidity,240,142,8.42153935657118,0.6890222904693949,0.47235357761383057,5.874930381774902,2.272700548171997,30min,30,TCN,SHT_TIME,2,validation,80,3
relative_humidity,480,142,8.170803138356796,0.5912080252741496,0.5608710050582886,6.854885101318359,-0.6962788701057434,30min,30,TCN,SHT_TIME,2,validation,80,3
