resolution,architecture,candidate_id,seed,training_scope,epoch,loss,val_loss
4min,MLP,2,2027,train_with_validation_monitoring,12,0.20043273270130157,0.2264585942029953
4min,MLP,2,2027,train_with_validation_monitoring,13,0.18149639666080475,0.18592409789562225
4min,MLP,2,2027,train_with_validation_monitoring,14,0.17989374697208405,0.16779901087284088
4min,MLP,2,2027,train_with_validation_monitoring,15,0.1685529500246048,0.17231369018554688
4min,MLP,2,2027,train_with_validation_monitoring,16,0.17010489106178284,0.1827385425567627
4min,MLP,2,2027,train_with_validation_monitoring,17,0.16984321177005768,0.2118498682975769
4min,MLP,2,2027,train_with_validation_monitoring,18,0.17213667929172516,0.16750666499137878
4min,MLP,2,2027,train_with_validation_monitoring,19,0.16047044098377228,0.18204237520694733
4min,MLP,2,2027,train_with_validation_monitoring,20,0.16083768010139465,0.18456564843654633
4min,MLP,2,2027,train_with_validation_monitoring,21,0.1607692837715149,0.16394813358783722
4min,MLP,2,2027,train_with_validation_monitoring,22,0.15615740418434143,0.17391687631607056
4min,MLP,2,2027,train_with_validation_monitoring,23,0.15194961428642273,0.1696690022945404
4min,MLP,2,2027,train_with_validation_monitoring,24,0.15350420773029327,0.17425936460494995
4min,MLP,2,2027,train_with_validation_monitoring,25,0.1586449295282364,0.1749931275844574
4min,MLP,2,2027,train_with_validation_monitoring,26,0.156029611825943,0.16784091293811798
4min,MLP,2,2027,train_with_validation_monitoring,27,0.15259316563606262,0.17727728188037872
4min,MLP,2,2027,train_with_validation_monitoring,28,0.1399940401315689,0.17984111607074738
4min,MLP,2,2027,train_with_validation_monitoring,29,0.14047034084796906,0.18000884354114532
4min,MLP,2,2027,train_with_validation_monitoring,30,0.13587921857833862,0.18021361529827118
4min,MLP,2,2027,train_with_validation_monitoring,31,0.13325655460357666,0.18572846055030823
4min,MLP,2,2028,train_with_validation_monitoring,1,1.6359448432922363,0.4669313132762909
4min,MLP,2,2028,train_with_validation_monitoring,2,0.7855035662651062,0.30402490496635437
4min,MLP,2,2028,train_with_validation_monitoring,3,0.5012858510017395,0.2631348967552185
4min,MLP,2,2028,train_with_validation_monitoring,4,0.39469996094703674,0.20734566450119019
4min,MLP,2,2028,train_with_validation_monitoring,5,0.33626577258110046,0.21607911586761475
4min,MLP,2,2028,train_with_validation_monitoring,6,0.2960910499095917,0.19163532555103302
4min,MLP,2,2028,train_with_validation_monitoring,7,0.27396562695503235,0.18883587419986725
4min,MLP,2,2028,train_with_validation_monitoring,8,0.25147995352745056,0.17501237988471985
4min,MLP,2,2028,train_with_validation_monitoring,9,0.2251189649105072,0.2007257342338562
4min,MLP,2,2028,train_with_validation_monitoring,10,0.21805748343467712,0.24220626056194305
4min,MLP,2,2028,train_with_validation_monitoring,11,0.2036488652229309,0.19762088358402252
4min,MLP,2,2028,train_with_validation_monitoring,12,0.20327675342559814,0.21323201060295105
4min,MLP,2,2028,train_with_validation_monitoring,13,0.19596655666828156,0.17923647165298462
4min,MLP,2,2028,train_with_validation_monitoring,14,0.19670027494430542,0.2086704969406128
4min,MLP,2,2028,train_with_validation_monitoring,15,0.18341778218746185,0.18217159807682037
4min,MLP,2,2028,train_with_validation_monitoring,16,0.17681476473808289,0.19226643443107605
4min,MLP,2,2028,train_with_validation_monitoring,17,0.17068889737129211,0.2113853394985199
4min,MLP,2,2028,train_with_validation_monitoring,18,0.16709479689598083,0.15852686762809753
4min,MLP,2,2028,train_with_validation_monitoring,19,0.1782679259777069,0.19107231497764587
4min,MLP,2,2028,train_with_validation_monitoring,20,0.1608482301235199,0.18992836773395538
4min,MLP,2,2028,train_with_validation_monitoring,21,0.1652895212173462,0.18958359956741333
4min,MLP,2,2028,train_with_validation_monitoring,22,0.15791261196136475,0.17289318144321442
4min,MLP,2,2028,train_with_validation_monitoring,23,0.15389418601989746,0.20354388654232025
4min,MLP,2,2028,train_with_validation_monitoring,24,0.15290214121341705,0.18631158769130707
4min,MLP,2,2028,train_with_validation_monitoring,25,0.14961808919906616,0.1754540354013443
4min,MLP,2,2028,train_with_validation_monitoring,26,0.14020860195159912,0.195497527718544
4min,MLP,2,2028,train_with_validation_monitoring,27,0.14707624912261963,0.17286863923072815
4min,MLP,2,2028,train_with_validation_monitoring,28,0.13928887248039246,0.1872149556875229
4min,LSTM,1,2026,train_with_validation_monitoring,1,0.9380604028701782,0.680404543876648
4min,LSTM,1,2026,train_with_validation_monitoring,2,0.7251623272895813,0.5797936916351318
4min,LSTM,1,2026,train_with_validation_monitoring,3,0.565373420715332,0.4523458480834961
4min,LSTM,1,2026,train_with_validation_monitoring,4,0.4619847238063812,0.31543079018592834
4min,LSTM,1,2026,train_with_validation_monitoring,5,0.3864254355430603,0.23465102910995483
4min,LSTM,1,2026,train_with_validation_monitoring,6,0.3458558917045593,0.20343171060085297
4min,LSTM,1,2026,train_with_validation_monitoring,7,0.30536359548568726,0.19477301836013794
4min,LSTM,1,2026,train_with_validation_monitoring,8,0.2775731086730957,0.17985399067401886
4min,LSTM,1,2026,train_with_validation_monitoring,9,0.27936282753944397,0.1546187400817871
4min,LSTM,1,2026,train_with_validation_monitoring,10,0.2511170506477356,0.1718209981918335
4min,LSTM,1,2026,train_with_validation_monitoring,11,0.24853414297103882,0.18719260394573212
4min,LSTM,1,2026,train_with_validation_monitoring,12,0.2532236874103546,0.17834584414958954
4min,LSTM,1,2026,train_with_validation_monitoring,13,0.25570791959762573,0.1784014105796814
4min,LSTM,1,2026,train_with_validation_monitoring,14,0.22907470166683197,0.16405992209911346
4min,LSTM,1,2026,train_with_validation_monitoring,15,0.22907929122447968,0.17154546082019806
4min,LSTM,1,2026,train_with_validation_monitoring,16,0.21887578070163727,0.17014315724372864
4min,LSTM,1,2026,train_with_validation_monitoring,17,0.21374820172786713,0.1594909131526947
4min,LSTM,1,2026,train_with_validation_monitoring,18,0.20994994044303894,0.1553950011730194
4min,LSTM,1,2026,train_with_validation_monitoring,19,0.20581184327602386,0.14801567792892456
4min,LSTM,1,2026,train_with_validation_monitoring,20,0.21770615875720978,0.14276164770126343
4min,LSTM,1,2026,train_with_validation_monitoring,21,0.20770202577114105,0.14306171238422394
4min,LSTM,1,2026,train_with_validation_monitoring,22,0.18912561237812042,0.14920823276042938
4min,LSTM,1,2026,train_with_validation_monitoring,23,0.20148435235023499,0.13978172838687897
4min,LSTM,1,2026,train_with_validation_monitoring,24,0.18800580501556396,0.1482197493314743
4min,LSTM,1,2026,train_with_validation_monitoring,25,0.1827906221151352,0.14852088689804077
4min,LSTM,1,2026,train_with_validation_monitoring,26,0.1915159374475479,0.1402359902858734
4min,LSTM,1,2026,train_with_validation_monitoring,27,0.17600838840007782,0.14148220419883728
4min,LSTM,1,2026,train_with_validation_monitoring,28,0.18313080072402954,0.1407148838043213
4min,LSTM,1,2026,train_with_validation_monitoring,29,0.17934563755989075,0.132358118891716
4min,LSTM,1,2026,train_with_validation_monitoring,30,0.17416955530643463,0.12866514921188354
4min,LSTM,1,2026,train_with_validation_monitoring,31,0.16587628424167633,0.14160791039466858
4min,LSTM,1,2026,train_with_validation_monitoring,32,0.18612012267112732,0.14147354662418365
4min,LSTM,1,2026,train_with_validation_monitoring,33,0.17440471053123474,0.14508719742298126
4min,LSTM,1,2026,train_with_validation_monitoring,34,0.17775295674800873,0.14379487931728363
4min,LSTM,1,2026,train_with_validation_monitoring,35,0.16542722284793854,0.14272332191467285
4min,LSTM,1,2026,train_with_validation_monitoring,36,0.17347776889801025,0.14661751687526703
4min,LSTM,1,2026,train_with_validation_monitoring,37,0.17854546010494232,0.14608262479305267
4min,LSTM,1,2026,train_with_validation_monitoring,38,0.16842588782310486,0.14259275794029236
4min,LSTM,1,2026,train_with_validation_monitoring,39,0.15842604637145996,0.14236263930797577
4min,LSTM,1,2026,train_with_validation_monitoring,40,0.167782723903656,0.14281176030635834
4min,LSTM,1,2027,train_with_validation_monitoring,1,0.9486977458000183,0.7388232946395874
4min,LSTM,1,2027,train_with_validation_monitoring,2,0.74196457862854,0.6160832643508911
4min,LSTM,1,2027,train_with_validation_monitoring,3,0.59530109167099,0.49573156237602234
4min,LSTM,1,2027,train_with_validation_monitoring,4,0.49893099069595337,0.3883382976055145
4min,LSTM,1,2027,train_with_validation_monitoring,5,0.4070136547088623,0.2897048890590668
4min,LSTM,1,2027,train_with_validation_monitoring,6,0.35861748456954956,0.22001343965530396
4min,LSTM,1,2027,train_with_validation_monitoring,7,0.32739925384521484,0.19388297200202942
4min,LSTM,1,2027,train_with_validation_monitoring,8,0.31769219040870667,0.16616475582122803
4min,LSTM,1,2027,train_with_validation_monitoring,9,0.281720906496048,0.1644010990858078
4min,LSTM,1,2027,train_with_validation_monitoring,10,0.26517990231513977,0.1465665102005005
