resolution,target,family,candidate_id,parameters,fit_partition,fit_rows,fit_median,fit_seconds,inference_seconds,aic,bic,status
12min,relative_humidity,ARTFIMA_APPROX,1,"{""arma_order"": [1, 0], ""fractional_d"": 0.15, ""tempering_lambda"": 0.005}",train,12600,70.21583333333332,0.894767599995248,0.6393884000135586,35472.58015346346,35494.90450974228,ok
12min,relative_humidity,ARTFIMA_APPROX,2,"{""arma_order"": [1, 1], ""fractional_d"": 0.25, ""tempering_lambda"": 0.01}",train,12600,70.21583333333332,2.1909521999768913,0.6497236000141129,32423.10261720256,32452.868425574317,ok
12min,relative_humidity,ARTFIMA_APPROX,3,"{""arma_order"": [2, 0], ""fractional_d"": 0.35, ""tempering_lambda"": 0.01}",train,12600,70.21583333333332,2.3693525000708178,0.6524169000331312,32199.879783809098,32229.645592180856,ok
12min,relative_humidity,ARTFIMA_APPROX,4,"{""arma_order"": [2, 1], ""fractional_d"": 0.25, ""tempering_lambda"": 0.02}",train,12600,70.21583333333332,2.8649191999575123,0.5699461000040174,31719.961389992248,31757.168650456944,ok
20min,temperature,ARIMA,1,"{""order"": [1, 0, 0], ""trend"": ""c""}",train,7560,22.7515,0.1301786000840366,0.6453437999589369,15615.637810226543,15636.429689634064,ok
20min,temperature,ARIMA,2,"{""order"": [2, 0, 0], ""trend"": ""c""}",train,7560,22.7515,0.788956500007771,0.7059830999933183,10574.829618066964,10602.552123943658,ok
20min,temperature,ARIMA,3,"{""order"": [1, 0, 1], ""trend"": ""c""}",train,7560,22.7515,1.0750906000612304,0.7463241999503225,12143.741773271442,12171.464279148136,ok
20min,temperature,ARIMA,4,"{""order"": [1, 1, 1], ""trend"": ""t""}",train,7560,22.7515,0.7406284000026062,0.8334582999814302,10765.108894826197,10792.830871567365,ok
20min,temperature,SARIMA_DAILY_DIFFERENCE,1,"{""order"": [1, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",train,7560,22.7515,0.19736280001234263,0.7086140000028536,12477.616380003179,12498.379551057651,ok
20min,temperature,SARIMA_DAILY_DIFFERENCE,2,"{""order"": [2, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",train,7560,22.7515,0.31087609997484833,0.7268146999413148,11655.240453475208,11682.924681547838,ok
20min,temperature,SARIMA_DAILY_DIFFERENCE,3,"{""order"": [1, 0, 1], ""seasonal_difference"": 1, ""trend"": ""c""}",train,7560,22.7515,0.7080588000826538,0.7721738000400364,11625.178193671201,11652.862421743832,ok
20min,temperature,SARIMA_EXACT,1,"{""order"": [1, 0, 0], ""seasonal_order_base"": [1, 0, 0], ""trend"": ""c""}",train,7560,22.7515,190.8506642000284,28.545138300047256,11101.634174029474,11129.317867878397,ok
20min,temperature,STATE_SPACE,1,"{""autoregressive"": 1, ""harmonics"": 3, ""level"": ""local level"", ""stochastic_level"": true}",train,7560,22.7515,3.547776799998246,0.6132182000437751,10644.415051178159,10679.063551749727,ok
20min,temperature,STATE_SPACE,2,"{""autoregressive"": 1, ""harmonics"": 3, ""level"": ""local linear trend"", ""stochastic_level"": true, ""stochastic_trend"": true}",train,7560,22.7515,8.64238249999471,0.5365761000430211,11157.122051818104,11198.699458065055,ok
20min,temperature,STATE_SPACE,3,"{""autoregressive"": 2, ""harmonics"": 6, ""level"": ""local linear trend"", ""stochastic_level"": true, ""stochastic_trend"": true}",train,7560,22.7515,25.585725600016303,0.56242710002698,8520.075102742567,8568.576513046237,ok
20min,temperature,ARTFIMA_APPROX,1,"{""arma_order"": [1, 0], ""fractional_d"": 0.15, ""tempering_lambda"": 0.005}",train,7560,22.7515,0.5726253000320867,0.9788360999664292,13496.780024427328,13517.571903834849,ok
20min,temperature,ARTFIMA_APPROX,2,"{""arma_order"": [1, 1], ""fractional_d"": 0.25, ""tempering_lambda"": 0.01}",train,7560,22.7515,1.4616347000701353,1.0722205000929534,11044.102885298124,11071.825391174818,ok
20min,temperature,ARTFIMA_APPROX,3,"{""arma_order"": [2, 0], ""fractional_d"": 0.35, ""tempering_lambda"": 0.01}",train,7560,22.7515,0.8751754999393597,1.0101874000392854,10905.6848169071,10933.407322783794,ok
20min,temperature,ARTFIMA_APPROX,4,"{""arma_order"": [2, 1], ""fractional_d"": 0.25, ""tempering_lambda"": 0.02}",train,7560,22.7515,1.9737958000041544,1.0149120999267325,10706.042787109307,10740.695919455175,ok
20min,relative_humidity,ARIMA,1,"{""order"": [1, 0, 0], ""trend"": ""c""}",train,7560,70.21066666666667,0.187546799890697,0.6829830999486148,30093.159641256054,30113.951520663573,ok
20min,relative_humidity,ARIMA,2,"{""order"": [2, 0, 0], ""trend"": ""c""}",train,7560,70.21066666666667,0.49812260002363473,0.6669078000122681,24911.77736398472,24939.49986986141,ok
20min,relative_humidity,ARIMA,3,"{""order"": [1, 0, 1], ""trend"": ""c""}",train,7560,70.21066666666667,0.8821650000754744,0.713261800003238,26792.247616157456,26819.97012203415,ok
20min,relative_humidity,ARIMA,4,"{""order"": [1, 1, 1], ""trend"": ""t""}",train,7560,70.21066666666667,0.6183276999508962,0.8082812000066042,25022.171733311097,25049.893710052267,ok
