resolution,feature_set,history_hours,split,n_samples
60min,SHT_BASE,48,validation,0
60min,SHT_BASE,48,test,0
60min,SHT_TIME,6,train,23
60min,SHT_TIME,6,validation,0
60min,SHT_TIME,6,test,24
60min,SHT_TIME,12,train,23
60min,SHT_TIME,12,validation,0
60min,SHT_TIME,12,test,17
60min,SHT_TIME,24,train,12
60min,SHT_TIME,24,validation,0
60min,SHT_TIME,24,test,0
60min,SHT_TIME,48,train,0
60min,SHT_TIME,48,validation,0
60min,SHT_TIME,48,test,0
60min,SHT_AUX_TIME,6,train,23
60min,SHT_AUX_TIME,6,validation,0
60min,SHT_AUX_TIME,6,test,24
60min,SHT_AUX_TIME,12,train,23
60min,SHT_AUX_TIME,12,validation,0
60min,SHT_AUX_TIME,12,test,17
60min,SHT_AUX_TIME,24,train,12
60min,SHT_AUX_TIME,24,validation,0
60min,SHT_AUX_TIME,24,test,0
60min,SHT_AUX_TIME,48,train,0
60min,SHT_AUX_TIME,48,validation,0
60min,SHT_AUX_TIME,48,test,0
60min,SHT_MULTISENSOR_TIME,6,train,23
60min,SHT_MULTISENSOR_TIME,6,validation,0
60min,SHT_MULTISENSOR_TIME,6,test,5
60min,SHT_MULTISENSOR_TIME,12,train,23
60min,SHT_MULTISENSOR_TIME,12,validation,0
60min,SHT_MULTISENSOR_TIME,12,test,2
60min,SHT_MULTISENSOR_TIME,24,train,12
60min,SHT_MULTISENSOR_TIME,24,validation,0
60min,SHT_MULTISENSOR_TIME,24,test,0
60min,SHT_MULTISENSOR_TIME,48,train,0
60min,SHT_MULTISENSOR_TIME,48,validation,0
60min,SHT_MULTISENSOR_TIME,48,test,0
