resolution,feature_set,history_hours,history_steps,n_features,features,n_samples,file,sha256
4min,SHT_MULTISENSOR_TIME,12,180,10,temperature | relative_humidity | temperature_bme280 | relative_humidity_bme280 | pressure | rh_bme280_saturated_fraction | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,0,data\processed\sample_indices\4min\SHT_MULTISENSOR_TIME\indices_4min_SHT_MULTISENSOR_TIME_hist_12h.csv,166f1d55d0e9bb6bba3a45ef8aaebc4eee5cf6f2ee2cea23725f610aa9a60a42
4min,SHT_MULTISENSOR_TIME,24,360,10,temperature | relative_humidity | temperature_bme280 | relative_humidity_bme280 | pressure | rh_bme280_saturated_fraction | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,0,data\processed\sample_indices\4min\SHT_MULTISENSOR_TIME\indices_4min_SHT_MULTISENSOR_TIME_hist_24h.csv,166f1d55d0e9bb6bba3a45ef8aaebc4eee5cf6f2ee2cea23725f610aa9a60a42
4min,SHT_MULTISENSOR_TIME,48,720,10,temperature | relative_humidity | temperature_bme280 | relative_humidity_bme280 | pressure | rh_bme280_saturated_fraction | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,0,data\processed\sample_indices\4min\SHT_MULTISENSOR_TIME\indices_4min_SHT_MULTISENSOR_TIME_hist_48h.csv,166f1d55d0e9bb6bba3a45ef8aaebc4eee5cf6f2ee2cea23725f610aa9a60a42
12min,SHT_BASE,6,30,2,temperature | relative_humidity,124,data\processed\sample_indices\12min\SHT_BASE\indices_12min_SHT_BASE_hist_06h.csv,835a79003eba352710c05e104e7dbd38b0e1123f12b258590f2f62be4fab488c
12min,SHT_BASE,12,60,2,temperature | relative_humidity,98,data\processed\sample_indices\12min\SHT_BASE\indices_12min_SHT_BASE_hist_12h.csv,8636cf783a28db984d392aa98f4e6e61abcf1cef458a036d11860f2a5b381526
12min,SHT_BASE,24,120,2,temperature | relative_humidity,32,data\processed\sample_indices\12min\SHT_BASE\indices_12min_SHT_BASE_hist_24h.csv,c0f42333706fd0c2e669e7d3834798d2b2381a0a2c55c3a5ccd8d9462a3b8226
12min,SHT_BASE,48,240,2,temperature | relative_humidity,0,data\processed\sample_indices\12min\SHT_BASE\indices_12min_SHT_BASE_hist_48h.csv,166f1d55d0e9bb6bba3a45ef8aaebc4eee5cf6f2ee2cea23725f610aa9a60a42
12min,SHT_TIME,6,30,6,temperature | relative_humidity | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,124,data\processed\sample_indices\12min\SHT_TIME\indices_12min_SHT_TIME_hist_06h.csv,952c2162897beceb166ebe0c31f39d2a1990c69586c44cbf50f79b4d446e6595
12min,SHT_TIME,12,60,6,temperature | relative_humidity | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,98,data\processed\sample_indices\12min\SHT_TIME\indices_12min_SHT_TIME_hist_12h.csv,f25be94173c0122495a18e416450a7c3fd401b0075546a134abaffa3fd06b8bd
12min,SHT_TIME,24,120,6,temperature | relative_humidity | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,32,data\processed\sample_indices\12min\SHT_TIME\indices_12min_SHT_TIME_hist_24h.csv,8b69e9d269b1b708511da72be84ce052c38e3ae37c85c6f04071209b3fdc3b54
12min,SHT_TIME,48,240,6,temperature | relative_humidity | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,0,data\processed\sample_indices\12min\SHT_TIME\indices_12min_SHT_TIME_hist_48h.csv,166f1d55d0e9bb6bba3a45ef8aaebc4eee5cf6f2ee2cea23725f610aa9a60a42
12min,SHT_AUX_TIME,6,30,8,temperature | relative_humidity | temperature_bme280 | pressure | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,124,data\processed\sample_indices\12min\SHT_AUX_TIME\indices_12min_SHT_AUX_TIME_hist_06h.csv,a7cb4f2958dcb216ec6f8afccab2f1dab828820fdcfe730a0f3e2ad9a7347359
12min,SHT_AUX_TIME,12,60,8,temperature | relative_humidity | temperature_bme280 | pressure | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,98,data\processed\sample_indices\12min\SHT_AUX_TIME\indices_12min_SHT_AUX_TIME_hist_12h.csv,d191c41bf3c07f47ec12cfc27df470f7c0df4b07a98fb2aa727022bbf9ccfc32
12min,SHT_AUX_TIME,24,120,8,temperature | relative_humidity | temperature_bme280 | pressure | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,32,data\processed\sample_indices\12min\SHT_AUX_TIME\indices_12min_SHT_AUX_TIME_hist_24h.csv,cfd0a6b7f9b711f1454ad38590e8df39796887b375115e57520fc21a9849e71e
12min,SHT_AUX_TIME,48,240,8,temperature | relative_humidity | temperature_bme280 | pressure | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,0,data\processed\sample_indices\12min\SHT_AUX_TIME\indices_12min_SHT_AUX_TIME_hist_48h.csv,166f1d55d0e9bb6bba3a45ef8aaebc4eee5cf6f2ee2cea23725f610aa9a60a42
12min,SHT_MULTISENSOR_TIME,6,30,10,temperature | relative_humidity | temperature_bme280 | relative_humidity_bme280 | pressure | rh_bme280_saturated_fraction | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,0,data\processed\sample_indices\12min\SHT_MULTISENSOR_TIME\indices_12min_SHT_MULTISENSOR_TIME_hist_06h.csv,166f1d55d0e9bb6bba3a45ef8aaebc4eee5cf6f2ee2cea23725f610aa9a60a42
12min,SHT_MULTISENSOR_TIME,12,60,10,temperature | relative_humidity | temperature_bme280 | relative_humidity_bme280 | pressure | rh_bme280_saturated_fraction | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,0,data\processed\sample_indices\12min\SHT_MULTISENSOR_TIME\indices_12min_SHT_MULTISENSOR_TIME_hist_12h.csv,166f1d55d0e9bb6bba3a45ef8aaebc4eee5cf6f2ee2cea23725f610aa9a60a42
12min,SHT_MULTISENSOR_TIME,24,120,10,temperature | relative_humidity | temperature_bme280 | relative_humidity_bme280 | pressure | rh_bme280_saturated_fraction | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,0,data\processed\sample_indices\12min\SHT_MULTISENSOR_TIME\indices_12min_SHT_MULTISENSOR_TIME_hist_24h.csv,166f1d55d0e9bb6bba3a45ef8aaebc4eee5cf6f2ee2cea23725f610aa9a60a42
12min,SHT_MULTISENSOR_TIME,48,240,10,temperature | relative_humidity | temperature_bme280 | relative_humidity_bme280 | pressure | rh_bme280_saturated_fraction | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,0,data\processed\sample_indices\12min\SHT_MULTISENSOR_TIME\indices_12min_SHT_MULTISENSOR_TIME_hist_48h.csv,166f1d55d0e9bb6bba3a45ef8aaebc4eee5cf6f2ee2cea23725f610aa9a60a42
20min,SHT_BASE,6,18,2,temperature | relative_humidity,149,data\processed\sample_indices\20min\SHT_BASE\indices_20min_SHT_BASE_hist_06h.csv,8233f511f623c68f9b89d81f957eba096b4884cb15eb6bea27d43ac5c9685dd6
20min,SHT_BASE,12,36,2,temperature | relative_humidity,114,data\processed\sample_indices\20min\SHT_BASE\indices_20min_SHT_BASE_hist_12h.csv,528344c2dbb9517a46aa22ffde26991cc77bc6a026e6ea814462d5abc71f107e
20min,SHT_BASE,24,72,2,temperature | relative_humidity,37,data\processed\sample_indices\20min\SHT_BASE\indices_20min_SHT_BASE_hist_24h.csv,956bb60c09f69ec4c5063709d8e3a5b4206605159714b213ac72d7485fc49ef5
20min,SHT_BASE,48,144,2,temperature | relative_humidity,0,data\processed\sample_indices\20min\SHT_BASE\indices_20min_SHT_BASE_hist_48h.csv,166f1d55d0e9bb6bba3a45ef8aaebc4eee5cf6f2ee2cea23725f610aa9a60a42
20min,SHT_TIME,6,18,6,temperature | relative_humidity | hour_sin | hour_cos | day_of_year_sin | day_of_year_cos,149,data\processed\sample_indices\20min\SHT_TIME\indices_20min_SHT_TIME_hist_06h.csv,ede84607ba380ddf1724651df9ac1b2a8f596972bbebed361cbe813134c0ec19
