resolution,feature_set,history_hours,history_steps,total_rows,enough_context,history_complete_after_context,interpolation_ok_after_history,same_split_history,targets_valid,same_split_targets,valid_samples
12min,SHT_MULTISENSOR_TIME,12,60,18056,17957,0,0,0,0,0,0
12min,SHT_MULTISENSOR_TIME,24,120,18056,17897,0,0,0,0,0,0
12min,SHT_MULTISENSOR_TIME,48,240,18056,17777,0,0,0,0,0,0
20min,SHT_BASE,6,18,10834,10793,9161,190,190,149,149,149
20min,SHT_BASE,12,36,10834,10775,7976,142,142,114,114,114
20min,SHT_BASE,24,72,10834,10739,6138,54,54,37,37,37
20min,SHT_BASE,48,144,10834,10667,3831,0,0,0,0,0
20min,SHT_TIME,6,18,10834,10793,9161,190,190,149,149,149
20min,SHT_TIME,12,36,10834,10775,7976,142,142,114,114,114
20min,SHT_TIME,24,72,10834,10739,6138,54,54,37,37,37
20min,SHT_TIME,48,144,10834,10667,3831,0,0,0,0,0
20min,SHT_AUX_TIME,6,18,10834,10793,9161,190,190,149,149,149
20min,SHT_AUX_TIME,12,36,10834,10775,7976,142,142,114,114,114
20min,SHT_AUX_TIME,24,72,10834,10739,6138,54,54,37,37,37
20min,SHT_AUX_TIME,48,144,10834,10667,3831,0,0,0,0,0
20min,SHT_MULTISENSOR_TIME,6,18,10834,10793,214,93,93,76,76,76
20min,SHT_MULTISENSOR_TIME,12,36,10834,10775,56,53,53,41,41,41
20min,SHT_MULTISENSOR_TIME,24,72,10834,10739,20,20,20,6,6,6
20min,SHT_MULTISENSOR_TIME,48,144,10834,10667,0,0,0,0,0,0
30min,SHT_BASE,6,12,7223,7196,6118,126,126,95,95,95
30min,SHT_BASE,12,24,7223,7184,5327,94,94,75,75,75
30min,SHT_BASE,24,48,7223,7160,4102,36,36,27,27,27
30min,SHT_BASE,48,96,7223,7112,2562,0,0,0,0,0
30min,SHT_TIME,6,12,7223,7196,6118,126,126,95,95,95
30min,SHT_TIME,12,24,7223,7184,5327,94,94,75,75,75
30min,SHT_TIME,24,48,7223,7160,4102,36,36,27,27,27
30min,SHT_TIME,48,96,7223,7112,2562,0,0,0,0,0
30min,SHT_AUX_TIME,6,12,7223,7196,6118,126,126,95,95,95
30min,SHT_AUX_TIME,12,24,7223,7184,5327,94,94,75,75,75
30min,SHT_AUX_TIME,24,48,7223,7160,4102,36,36,27,27,27
30min,SHT_AUX_TIME,48,96,7223,7112,2562,0,0,0,0,0
30min,SHT_MULTISENSOR_TIME,6,12,7223,7196,262,60,60,50,50,50
30min,SHT_MULTISENSOR_TIME,12,24,7223,7184,67,38,38,32,32,32
30min,SHT_MULTISENSOR_TIME,24,48,7223,7160,16,15,15,6,6,6
30min,SHT_MULTISENSOR_TIME,48,96,7223,7112,0,0,0,0,0,0
60min,SHT_BASE,6,6,3612,3599,3152,63,63,47,47,47
60min,SHT_BASE,12,12,3612,3593,2819,49,49,40,40,40
60min,SHT_BASE,24,24,3612,3581,2285,18,18,12,12,12
60min,SHT_BASE,48,48,3612,3557,1565,0,0,0,0,0
60min,SHT_TIME,6,6,3612,3599,3152,63,63,47,47,47
60min,SHT_TIME,12,12,3612,3593,2819,49,49,40,40,40
60min,SHT_TIME,24,24,3612,3581,2285,18,18,12,12,12
60min,SHT_TIME,48,48,3612,3557,1565,0,0,0,0,0
60min,SHT_AUX_TIME,6,6,3612,3599,3152,63,63,47,47,47
60min,SHT_AUX_TIME,12,12,3612,3593,2819,49,49,40,40,40
60min,SHT_AUX_TIME,24,24,3612,3581,2285,18,18,12,12,12
60min,SHT_AUX_TIME,48,48,3612,3557,1565,0,0,0,0,0
60min,SHT_MULTISENSOR_TIME,6,6,3612,3599,442,34,34,28,28,28
60min,SHT_MULTISENSOR_TIME,12,12,3612,3593,119,30,30,25,25,25
60min,SHT_MULTISENSOR_TIME,24,24,3612,3581,22,18,18,12,12,12
60min,SHT_MULTISENSOR_TIME,48,48,3612,3557,0,0,0,0,0,0
